accident_id,accident_date,location,severity
A000072,2023-07-25,East Tanner,Severe
A000073,2024-07-23,North Stacy,Severe
A000074,2023-04-02,New Anthony,Severe
A000075,2023-05-05,North Randy,Minor
A000076,2023-05-05,New Michael,Minor
A000077,2024-07-26,Pricefort,Severe
A000078,2024-04-13,New Juliaport,Minor
A000079,2024-09-26,Lopezmouth,Minor
A000080,2024-12-09,Lake Benjamin,Minor
A000081,2024-03-04,North Annborough,Moderate
A000082,2023-06-26,Nicholasfurt,Severe
A000083,2023-04-30,Burgessbury,Minor
A000084,2023-09-28,Lake Jackson,Minor
A000085,2024-04-10,Sparksville,Severe
A000086,2023-03-05,New Elizabeth,Moderate
A000087,2024-07-14,New Leslie,Minor
A000088,2024-08-11,Franklintown,Severe
A000089,2024-05-03,Lake Jennifer,Moderate
A000090,2023-11-29,Port Jasminehaven,Moderate
A000091,2024-04-06,Gilesland,Severe
A000092,2025-01-21,South Kristenport,Minor
A000093,2023-03-11,Brittneyshire,Minor
A000094,2024-11-24,New Kristinview,Minor
A000095,2023-06-20,Gregorymouth,Moderate
A000096,2023-03-26,Cassieland,Moderate
A000097,2023-03-11,Mitchellchester,Minor
A000098,2023-03-01,New Heatherhaven,Severe
A000099,2023-03-05,Cooperstad,Severe
A000100,2024-09-06,Maryshire,Moderate
A000101,2024-03-03,West Mialand,Minor
A000102,2025-02-22,Megantown,Minor
A000103,2024-06-11,Cunninghamstad,Moderate
A000104,2023-05-31,Ryanside,Moderate
A000105,2024-05-23,East Jennifer,Moderate
A000106,2024-01-05,South Danielbury,Moderate
A000107,2023-12-18,New Monica,Moderate
A000108,2024-06-03,Montesport,Severe
A000109,2024-10-19,Port Melissa,Severe
A000110,2024-02-01,Morganfort,Minor
A000111,2024-05-05,South Philipstad,Minor
A000112,2024-04-03,Seanberg,Moderate
A000113,2024-11-25,Jimton,Severe
A000114,2023-04-16,Lake Tina,Minor
A000115,2024-03-27,East Ritafort,Minor
A000116,2024-10-12,New Joshua,Minor
A000117,2024-02-12,Port Vicki,Moderate
A000118,2025-02-09,South Joseph,Moderate
A000119,2023-05-22,Lake Carrie,Minor
A000120,2023-06-30,Williamsmouth,Moderate
A000121,2024-07-13,Sandovaltown,Severe
A000122,2024-10-04,Millerburgh,Moderate
A000123,2023-06-13,Port Deniseton,Moderate
A000124,2024-09-14,Lake Vanessahaven,Severe
A000125,2023-11-11,Taylorton,Minor
A000126,2023-07-11,Port Billstad,Moderate
A000127,2024-05-06,Petersonton,Minor
A000128,2023-03-25,Silvashire,Minor
A000129,2024-09-22,Greenefort,Severe
A000130,2024-01-10,East Jamestown,Minor
A000131,2024-12-29,Dawnport,Severe
A000132,2024-07-26,Jasonmouth,Moderate
A000133,2024-07-01,North Richard,Severe
A000134,2024-06-05,South Jennifer,Minor
A000135,2024-05-16,West Lisa,Minor
A000136,2023-07-13,Jonport,Severe
A000137,2024-12-02,Shelbyborough,Severe
A000138,2023-11-24,Cowanstad,Moderate
A000139,2024-03-25,Michaelchester,Severe
A000140,2025-01-31,New Jason,Moderate
A000141,2024-03-03,Lake Justinport,Severe
A000142,2023-09-08,Reginaldfurt,Severe
A000143,2024-03-23,New Joshuafurt,Severe
A000144,2023-10-05,Emilyburgh,Severe
A000145,2024-09-13,Charlesmouth,Minor
A000146,2025-02-10,Kingtown,Minor
A000147,2024-07-07,Port Josephmouth,Moderate
A000148,2023-07-02,Katherineton,Severe
A000149,2024-08-23,East Davidton,Moderate
A000150,2024-03-23,Sarahhaven,Minor
A000151,2025-02-07,Draketown,Minor
A000152,2024-05-17,East Amber,Severe
A000153,2025-02-13,Arthurville,Severe
A000154,2024-03-25,Jerryville,Moderate
A000155,2024-05-16,Leslietown,Moderate
A000156,2024-02-18,Zhangton,Moderate
A000157,2024-05-31,Millerborough,Moderate
A000158,2024-06-30,West Karen,Moderate
A000159,2023-05-05,Jacksonton,Severe
A000160,2023-04-07,Andersonborough,Minor
A000161,2024-05-12,Martinside,Severe
A000162,2024-05-11,North Adamborough,Minor
A000163,2023-11-16,South Stacy,Severe
A000164,2025-01-12,West John,Moderate
A000165,2023-04-25,Donaldside,Moderate
A000166,2023-09-18,Davidtown,Moderate
A000167,2024-04-23,Watkinsfurt,Minor
A000168,2024-07-01,North Courtney,Severe
A000169,2023-07-28,Odonnellview,Moderate
A000170,2024-05-21,North Julieland,Severe
A000171,2024-10-06,New Kimberly,Moderate
A000172,2024-03-14,North Matthewview,Severe
A000173,2024-10-20,Port Christopher,Severe
A000174,2024-01-15,New Williamberg,Moderate
A000175,2023-10-23,West Alyssa,Minor
A000176,2024-01-28,Jimmyshire,Moderate
A000177,2023-02-27,Lake Trevor,Minor
A000178,2024-08-28,Blankenshipchester,Severe
A000179,2023-10-13,Samanthaside,Minor
A000180,2025-01-29,Lake Russellbury,Minor
A000181,2024-11-08,Jasonborough,Minor
A000182,2023-04-14,North Danielfort,Minor
A000183,2024-12-31,East Brandontown,Severe
A000184,2023-09-25,Johnsonside,Severe
A000185,2024-10-16,Andrewhaven,Minor
A000186,2025-02-01,Morristown,Minor
A000187,2025-01-27,Fosterton,Severe
A000188,2025-01-17,West Aaron,Severe
A000189,2025-02-16,West Heathermouth,Moderate
A000190,2023-09-30,Heatherbury,Severe
A000191,2024-02-26,Gabrielleshire,Moderate
A000192,2023-06-13,Port Rachel,Severe
A000193,2024-02-26,South Tarahaven,Minor
A000194,2024-07-31,Port Susanside,Severe
A000195,2023-02-19,East Jonathan,Moderate
A000196,2024-01-28,Lopezhaven,Moderate
A000197,2023-09-09,South Katherine,Moderate
A000198,2024-05-08,Anthonyhaven,Minor
A000199,2023-07-08,North Kimberly,Minor
A000200,2024-02-21,South Samuelhaven,Moderate
A000201,2023-10-02,North Rhondashire,Severe
A000202,2023-11-17,Millerburgh,Minor
A000203,2023-12-13,Nelsonport,Severe
A000204,2023-06-10,Nancyfort,Moderate
A000205,2023-09-21,Jennaport,Severe
A000206,2024-07-02,Kevinmouth,Severe
A000207,2024-11-16,Nataliemouth,Severe
A000208,2024-01-22,Port Seanchester,Minor
A000209,2023-12-11,Simsshire,Severe
A000210,2024-05-14,North Kimberlyland,Minor
A000211,2023-08-26,Charlesside,Minor
A000212,2024-03-16,Tamaraport,Minor
A000213,2023-06-03,Jesseberg,Minor
A000214,2024-07-03,New Maria,Minor
A000215,2024-07-07,New Kelly,Moderate
A000216,2025-01-01,Kevinmouth,Severe
A000217,2024-09-20,Tommyside,Severe
A000218,2023-11-21,Lynnberg,Moderate
A000219,2024-11-07,Millerfort,Moderate
A000220,2023-06-14,East Tammy,Moderate
A000221,2024-04-27,North Denise,Minor
A000222,2024-10-01,West Joshuashire,Moderate
A000223,2024-02-28,Shariberg,Severe
A000224,2023-04-09,Port Randy,Moderate
A000225,2023-11-12,Port Danielton,Severe
A000226,2025-01-22,Port Kaylaton,Severe
A000227,2023-05-16,Nicoleshire,Severe
A000228,2023-03-17,Geraldview,Moderate
A000229,2024-04-05,Petersontown,Minor
A000230,2024-12-12,Port Michael,Severe
A000231,2023-09-26,Braunburgh,Severe
A000232,2025-01-30,Rachelville,Severe
A000233,2023-06-12,New Jeffrey,Moderate
A000234,2023-08-09,Gonzalezborough,Moderate
A000235,2024-06-13,New Jonathanland,Severe
A000236,2025-01-21,New Steven,Moderate
A000237,2024-05-13,East Robinbury,Severe
A000238,2024-06-13,Sandovalborough,Severe
A000239,2023-07-12,Chanland,Moderate
A000240,2023-07-21,Rodneychester,Severe
A000241,2024-07-02,Danielburgh,Severe
A000242,2023-10-21,Lake Janice,Severe
A000243,2023-08-06,Moniquefurt,Minor
A000244,2023-12-06,East Renee,Severe
A000245,2024-09-29,Isaacville,Minor
A000246,2024-05-26,New Crystalmouth,Minor
A000247,2023-07-14,South Cynthia,Severe
A000248,2024-08-29,New Ryantown,Severe
A000249,2024-01-07,New Shannonfort,Moderate
A000250,2023-08-23,South Jamiemouth,Minor
A000251,2024-01-07,Nicoleburgh,Minor
A000252,2025-01-17,Atkinsonborough,Minor
A000253,2024-10-13,New Billytown,Minor
A000254,2023-07-16,South Todd,Moderate
A000255,2023-09-29,East Dawn,Severe
A000256,2023-05-01,New Nicole,Minor
A000257,2023-08-30,Boylefurt,Minor
A000258,2023-10-10,Richardsonchester,Severe
A000259,2024-04-25,Brittanymouth,Moderate
A000260,2024-12-03,East Jeffreyfurt,Severe
A000261,2023-06-03,New Karenburgh,Minor
A000262,2024-06-22,Andradeberg,Minor
A000263,2024-05-01,East Jenniferfurt,Moderate
A000264,2024-07-05,Rodneystad,Minor
A000265,2024-11-03,Port Evan,Minor
A000266,2024-04-11,Stephaniefort,Severe
A000267,2024-12-19,East William,Minor
A000268,2024-12-05,West Williammouth,Minor
A000269,2024-01-18,South Justinville,Severe
A000270,2024-02-12,Obrientown,Severe
A000271,2024-07-23,West Daniel,Moderate
A000272,2024-03-04,South Donaldview,Minor
A000273,2025-01-19,South Kyle,Moderate
A000274,2024-12-04,South Lindsey,Severe
A000275,2024-04-14,Nicoleland,Severe
A000276,2023-10-02,South Jonathanport,Severe
A000277,2023-07-22,Catherinehaven,Minor
A000278,2024-03-03,New Ashley,Minor
A000279,2023-06-29,Anthonyville,Moderate
A000280,2024-09-24,South Andre,Minor
A000281,2024-08-23,North Lauriebury,Minor
A000282,2025-01-28,South Andrew,Moderate
A000283,2023-11-13,South Kelly,Minor
A000284,2023-08-25,Pageberg,Severe
A000285,2024-08-09,North Donna,Minor
A000286,2024-08-20,Timothytown,Moderate
A000287,2024-07-26,Valenciachester,Moderate
A000288,2023-11-15,South Davidtown,Minor
A000289,2023-12-29,East Stephanie,Moderate
A000290,2024-10-12,Stevensshire,Severe
A000291,2024-12-06,Fisherburgh,Moderate
A000292,2024-06-26,Hendersonfort,Minor
A000293,2023-07-06,Jorgeport,Minor
A000294,2023-03-10,Tiffanymouth,Minor
A000295,2023-07-21,South Alexanderfurt,Minor
A000296,2024-06-22,New Robert,Moderate
A000297,2024-09-19,Lake Megan,Moderate
A000298,2024-11-19,Port Jessicaport,Minor
A000299,2024-08-16,Stevetown,Minor
A000300,2024-05-26,Lambtown,Minor
A000301,2024-03-19,Port Jamesborough,Moderate
A000302,2023-07-06,South Jenniferport,Moderate
A000303,2024-09-25,Lake Cindyhaven,Moderate
A000304,2024-10-05,Martinezburgh,Moderate
A000305,2023-07-09,Port Jerry,Moderate
A000306,2024-02-09,Suzannemouth,Severe
A000307,2024-01-01,Douglaschester,Moderate
A000308,2024-02-02,Spencerville,Moderate
A000309,2023-07-22,East Claudiaport,Minor
A000310,2024-09-03,Port Samanthaport,Severe
A000311,2024-01-11,South Hector,Moderate
A000312,2024-07-03,North Laurenhaven,Minor
A000313,2025-01-15,East William,Minor
A000314,2023-08-24,North Kristen,Moderate
A000315,2024-06-26,West Joanneborough,Minor
A000316,2024-06-07,Durhambury,Severe
A000317,2025-02-09,Jeffreyfurt,Minor
A000318,2024-07-02,East Davidtown,Moderate
A000319,2024-08-06,Lake Mary,Severe
A000320,2024-07-25,Ashleyside,Severe
A000321,2024-09-27,South Robert,Severe
A000322,2025-01-29,Durhamchester,Moderate
A000323,2024-12-10,South Zachary,Minor
A000324,2024-03-14,Lake Michellebury,Severe
A000325,2023-07-19,Cummingsmouth,Severe
A000326,2025-02-14,North Christopher,Severe
A000327,2023-10-05,Davidmouth,Severe
A000328,2023-12-06,Russellland,Moderate
A000329,2024-06-20,Kelleyburgh,Moderate
A000330,2024-12-11,Lake Edwardton,Minor
A000331,2024-11-22,Riverashire,Moderate
A000332,2023-04-14,East Lisafort,Severe
A000333,2023-05-02,Lake Brianside,Severe
A000334,2023-05-15,West Randy,Moderate
A000335,2024-07-30,West Teresa,Severe
A000336,2023-11-19,North Taylorhaven,Minor
A000337,2024-08-19,Michelebury,Minor
A000338,2023-11-26,Dennisborough,Minor
A000339,2023-10-02,Nelsonmouth,Minor
A000340,2024-11-19,New Robertborough,Minor
A000341,2023-03-28,Port Jennifer,Severe
A000342,2024-11-13,South Justinburgh,Severe
A000343,2023-03-27,Johnburgh,Severe
A000344,2024-01-15,East Wayne,Minor
A000345,2025-02-20,Jennifertown,Severe
A000346,2025-01-17,Lake Jessechester,Minor
A000347,2023-05-09,North Jennyport,Minor
A000348,2024-12-22,South Matthew,Severe
A000349,2023-10-11,Sandraside,Minor
A000350,2024-07-17,Blackburnville,Moderate
A000351,2023-03-16,Kathrynshire,Moderate
A000352,2024-12-27,New Jeremy,Minor
A000353,2024-07-11,North Johnville,Severe
A000354,2023-08-06,Anthonymouth,Severe
A000355,2023-07-24,Johnsonbury,Moderate
A000356,2023-12-17,Zacharyshire,Minor
A000357,2024-11-01,North Lisa,Severe
A000358,2023-07-28,Keithview,Severe
A000359,2025-02-07,Lake Kristin,Moderate
A000360,2023-07-19,Elizabethton,Minor
A000361,2023-09-02,East Jamie,Severe
A000362,2023-07-02,Walshview,Minor
A000363,2023-06-09,South Brian,Minor
A000364,2024-01-10,South Kara,Severe
A000365,2023-07-22,Markchester,Severe
A000366,2025-01-22,Port Matthewbury,Moderate
A000367,2023-11-15,North Mary,Minor
A000368,2024-12-01,North Alejandro,Severe
A000369,2024-02-12,West Morgan,Minor
A000370,2024-08-25,Robertsbury,Minor
A000371,2024-07-08,West Catherinestad,Minor
A000372,2023-09-22,Dodsonview,Minor
A000373,2024-03-11,North Lindsey,Severe
A000374,2024-02-25,Amandamouth,Moderate
A000375,2024-10-20,Lake Chad,Severe
A000376,2024-05-09,West Amandaside,Moderate
A000377,2024-03-11,Xavierstad,Moderate
A000378,2025-01-21,Smithmouth,Minor
A000379,2024-04-28,Christophershire,Severe
A000380,2023-09-01,New Jeffrey,Minor
A000381,2023-02-24,North Tonya,Moderate
A000382,2025-01-12,Lake James,Severe
A000383,2023-10-14,East Steven,Minor
A000384,2023-08-14,Lake Brianborough,Moderate
A000385,2023-03-05,South Anaborough,Minor
A000386,2024-01-28,North Thomas,Minor
A000387,2024-05-10,Lake Debbieville,Severe
A000388,2023-06-24,South Christopher,Severe
A000389,2023-09-09,South Elizabeth,Moderate
A000390,2023-07-16,South Daniellestad,Severe
A000391,2024-04-16,Meganfurt,Moderate
A000392,2024-08-17,West Kyleville,Severe
A000393,2024-09-16,Jenniferstad,Moderate
A000394,2025-01-24,Alvarezburgh,Severe
A000395,2023-12-11,North Darlene,Severe
A000396,2025-01-26,Daughertyburgh,Minor
A000397,2023-06-06,East Alexanderborough,Severe
A000398,2023-12-21,New Christinaside,Minor
A000399,2023-10-23,Lake Jamesborough,Severe
A000400,2023-10-17,Hunterstad,Severe
A000401,2025-02-10,Port Sharonborough,Severe
A000402,2023-02-21,West Yvonneburgh,Severe
A000403,2024-12-09,West Raymondtown,Minor
A000404,2024-11-03,Port Rachelton,Minor
A000405,2024-03-25,Villanuevastad,Severe
A000406,2023-08-31,East Garyfurt,Severe
A000407,2024-09-05,Port Elizabeth,Moderate
A000408,2024-03-16,Fordchester,Minor
A000409,2023-06-18,Port Kimberlystad,Minor
A000410,2023-11-20,Kylehaven,Moderate
A000411,2024-04-10,East Wanda,Moderate
A000412,2023-04-26,Jamesbury,Moderate
A000413,2024-06-09,Scottberg,Minor
A000414,2024-03-02,Port Bryan,Moderate
A000415,2024-09-29,Deanmouth,Moderate
A000416,2023-12-04,West Amanda,Minor
A000417,2023-08-30,New Anthonytown,Moderate
A000418,2023-06-01,Smithton,Severe
A000419,2023-06-23,West Anthonyton,Severe
A000420,2024-06-29,New Traciton,Moderate
A000421,2023-07-21,Williamsbury,Minor
A000422,2024-07-16,West Julie,Minor
A000423,2023-05-10,Ramirezburgh,Minor
A000424,2024-05-01,West Ivan,Minor
A000425,2023-05-10,Pughtown,Moderate
A000426,2023-03-27,Nguyenmouth,Minor
A000427,2023-03-02,South John,Moderate
A000428,2023-12-23,New Justin,Severe
A000429,2023-07-29,West Danielle,Severe
A000430,2024-12-05,East Kari,Moderate
A000431,2023-04-10,Kaitlynbury,Moderate
A000432,2024-10-15,New Alexanderside,Moderate
A000433,2023-10-14,Ramirezshire,Moderate
A000434,2024-03-15,Anitabury,Moderate
A000435,2023-12-11,Davidburgh,Minor
A000436,2023-11-30,Mcculloughchester,Minor
A000437,2024-03-04,West Patricia,Severe
A000438,2024-07-14,South Jasminton,Minor
A000439,2023-05-29,Grantton,Minor
A000440,2023-11-04,East Bob,Severe
A000441,2024-10-05,Lake Carla,Moderate
A000442,2024-09-02,South George,Severe
A000443,2025-01-14,West Andrew,Moderate
A000444,2024-09-04,Port Richard,Moderate
A000445,2023-06-05,Kimberlyfurt,Minor
A000446,2023-04-23,Tonyport,Minor
A000447,2024-01-13,Christineside,Moderate
A000448,2024-08-27,East Michele,Minor
A000449,2024-02-02,West Elizabethfort,Severe
A000450,2024-06-03,Port Kevinberg,Moderate
A000451,2024-02-18,Millerport,Moderate
A000452,2023-09-18,Lake Danielstad,Moderate
A000453,2023-10-15,South Emma,Severe
A000454,2024-08-17,Johnsonside,Minor
A000455,2023-05-18,Colefort,Minor
A000456,2024-02-29,Hamiltonburgh,Minor
A000457,2023-07-13,Pagehaven,Moderate
A000458,2024-04-07,Tylerland,Severe
A000459,2023-03-10,Whitehaven,Moderate
A000460,2023-07-28,Samuelmouth,Moderate
A000461,2023-09-27,Danielburgh,Minor
A000462,2024-10-31,East Davidchester,Minor
A000463,2023-04-12,Krystalmouth,Minor
A000464,2024-04-14,Wolfville,Severe
A000465,2024-03-27,Fisherstad,Minor
A000466,2024-04-02,Ronaldburgh,Severe
A000467,2024-06-25,West Robin,Minor
A000468,2025-01-27,East Annette,Moderate
A000469,2023-05-10,Christinatown,Minor
A000470,2024-10-13,Glasston,Moderate
A000471,2024-04-14,North Nataliefort,Minor
A000472,2024-12-12,Erikview,Moderate
A000473,2025-02-09,Frankburgh,Moderate
A000474,2023-11-20,East Stephaniehaven,Moderate
A000475,2023-11-18,Karenside,Moderate
A000476,2023-04-06,Ricefort,Minor
A000477,2024-07-22,Lake Victoriatown,Severe
A000478,2025-01-27,Lake Michellehaven,Severe
A000479,2024-10-30,Thomasbury,Severe
A000480,2024-07-30,Duranshire,Minor
A000481,2024-07-30,Danielville,Minor
A000482,2023-08-10,Martinberg,Moderate
A000483,2024-11-02,Sabrinaport,Moderate
A000484,2024-02-03,Sotoshire,Moderate
A000485,2023-05-11,Coffeyberg,Severe
A000486,2024-09-02,East Rebecca,Moderate
A000487,2023-09-26,Michaelberg,Minor
A000488,2024-10-11,Adamview,Severe
A000489,2023-04-27,Lauraville,Moderate
A000490,2025-02-19,Port Keith,Moderate
A000491,2024-02-05,Brennanbury,Minor
A000492,2023-05-25,Colontown,Minor
A000493,2023-03-16,North Joshualand,Moderate
A000494,2024-05-07,Lake Debra,Moderate
A000495,2023-11-28,Denisebury,Moderate
A000496,2024-11-04,Lisamouth,Severe
A000497,2023-08-01,Lake Elizabethmouth,Minor
A000498,2023-10-22,New Juanchester,Severe
A000499,2024-12-10,Michellefurt,Severe
A000500,2024-08-01,East Jason,Moderate
A000501,2024-06-28,Lake Lorihaven,Minor
A000502,2023-12-12,Baxterburgh,Moderate
A000503,2024-01-28,Johnsonfurt,Moderate
A000504,2024-03-20,South William,Minor
A000505,2024-09-08,Jonesberg,Moderate
A000506,2023-05-13,West Bruceside,Minor
A000507,2023-11-29,Christopherfort,Moderate
A000508,2024-06-17,Lake Shelby,Severe
A000509,2023-12-13,Chenside,Moderate
A000510,2024-09-24,Robinton,Moderate
A000511,2024-02-19,New Patrick,Minor
A000512,2024-10-14,Stevenville,Minor
A000513,2024-02-14,Callahanmouth,Moderate
A000514,2023-04-24,Turnerport,Moderate
A000515,2024-09-02,Johnsontown,Severe
A000516,2023-09-18,Jamesburgh,Minor
A000517,2023-07-31,East Jackborough,Moderate
A000518,2024-03-26,Torresberg,Moderate
A000519,2024-10-28,West Margaretside,Moderate
A000520,2024-04-28,Franciscoville,Moderate
A000521,2023-05-06,Andrewville,Moderate
A000522,2024-12-17,West Jamiebury,Severe
A000523,2024-12-31,Port Joshuabury,Moderate
A000524,2024-04-30,Lake Diamond,Severe
A000525,2024-11-25,East Kelly,Minor
A000526,2023-12-08,West Paulaville,Moderate
A000527,2024-06-04,Navarromouth,Minor
A000528,2023-07-21,Millston,Severe
A000529,2023-10-06,Justinborough,Minor
A000530,2024-01-01,Brianbury,Moderate
A000531,2025-01-12,Charlesburgh,Moderate
A000532,2024-06-21,West Victoria,Minor
A000533,2024-02-21,West Priscilla,Minor
A000534,2024-05-04,East Christopher,Minor
A000535,2024-12-16,Lake Jennifer,Minor
A000536,2024-04-07,Morantown,Minor
A000537,2023-10-02,North Taylor,Moderate
A000538,2024-05-20,West Lorihaven,Moderate
A000539,2024-02-11,North Christianborough,Minor
A000540,2023-07-24,Hernandezshire,Severe
A000541,2024-01-10,Angelaton,Moderate
A000542,2024-07-18,Port Mark,Minor
A000543,2023-05-17,Smithburgh,Minor
A000544,2025-01-01,South Justintown,Severe
A000545,2024-07-27,North Joannamouth,Moderate
A000546,2023-12-15,Spencebury,Minor
A000547,2025-02-06,Lake Peter,Severe
A000548,2023-10-11,Darrenshire,Moderate
A000549,2023-06-10,Shawnahaven,Moderate
A000550,2024-06-30,East Michelle,Severe
A000551,2023-03-14,Port Jake,Moderate
A000552,2024-04-08,Pughview,Severe
A000553,2024-08-24,Robinsonmouth,Severe
A000554,2024-01-31,Victorshire,Minor
A000555,2023-07-29,Port Anthony,Moderate
A000556,2023-07-10,Port Mathew,Severe
A000557,2024-09-22,Yvonnefort,Severe
A000558,2024-09-03,Haysshire,Moderate
A000559,2024-09-22,Rogerchester,Minor
A000560,2023-08-08,Cooperport,Moderate
A000561,2023-03-22,Robertohaven,Moderate
A000562,2023-10-06,Phillipshaven,Severe
A000563,2023-10-15,North Lisaberg,Severe
A000564,2023-11-28,Carterland,Severe
A000565,2023-04-08,Lake Stevenfurt,Moderate
A000566,2023-09-28,Suzannestad,Severe
A000567,2023-09-29,East Aimee,Minor
A000568,2023-05-14,Jameshaven,Severe
A000569,2024-09-25,Port Charles,Severe
A000570,2024-10-17,Patrickside,Moderate
A000571,2024-12-11,Christopherview,Moderate
A000572,2024-06-24,Michaelhaven,Moderate
A000573,2024-01-25,West John,Moderate
A000574,2024-07-29,Colemanhaven,Severe
A000575,2024-08-02,Jessicamouth,Minor
A000576,2024-12-31,West Seantown,Minor
A000577,2023-09-17,East Christinaburgh,Minor
A000578,2025-01-27,Andersonville,Severe
A000579,2025-02-05,Port Jill,Moderate
A000580,2024-05-16,North Claytonchester,Moderate
A000581,2025-01-22,North Baileyburgh,Minor
A000582,2024-11-02,Riosmouth,Minor
A000583,2024-04-14,South Kimberly,Severe
A000584,2024-10-22,Lake David,Moderate
A000585,2025-01-02,West Jonathan,Moderate
A000586,2024-03-04,Cliffordview,Minor
A000587,2024-06-03,Mooreview,Minor
A000588,2024-03-05,New Michaelfurt,Minor
A000589,2024-10-10,Davistown,Minor
A000590,2023-09-03,East Cynthia,Moderate
A000591,2024-07-22,Johnsonfurt,Minor
A000592,2023-03-14,Kathleenchester,Severe
A000593,2024-07-20,South Randy,Moderate
A000594,2023-04-26,North Lisa,Severe
A000595,2025-01-05,Wilsonshire,Severe
A000596,2024-07-29,Andreside,Moderate
A000597,2024-11-07,West Elizabeth,Severe
A000598,2024-03-03,Port Alexischester,Moderate
A000599,2024-03-06,Dianeland,Moderate
A000600,2024-12-29,New Jennifer,Minor
A000601,2023-08-14,East Andreaborough,Minor
A000602,2023-12-17,West Jefferybury,Moderate
A000603,2024-12-08,Lake Elizabeth,Minor
A000604,2025-01-19,Cookeside,Moderate
A000605,2024-01-18,West Shawnborough,Moderate
A000606,2024-08-31,East Kellytown,Moderate
A000607,2023-09-25,Smithborough,Moderate
A000608,2024-01-14,Davidborough,Minor
A000609,2024-02-04,Scottport,Moderate
A000610,2024-02-05,Brianfort,Moderate
A000611,2024-04-01,Sandratown,Moderate
A000612,2024-10-26,Tuckerport,Severe
A000613,2023-06-23,Lake Johnny,Severe
A000614,2024-02-03,Wesleyburgh,Severe
A000615,2024-01-06,New Alexandria,Minor
A000616,2023-03-02,North Michaelfort,Severe
A000617,2023-06-08,Johnsonfurt,Moderate
A000618,2023-08-29,Lake Kristyland,Severe
A000619,2023-05-25,Georgetown,Moderate
A000620,2024-10-11,Garciaburgh,Severe
A000621,2023-07-20,Port Tonyabury,Severe
A000622,2024-03-06,Stevenmouth,Moderate
A000623,2023-11-05,East Jeremyhaven,Moderate
A000624,2024-08-09,Port Bruceberg,Severe
A000625,2024-05-28,Brandonside,Moderate
A000626,2023-03-16,East Robertfort,Minor
A000627,2023-07-22,Jessicaville,Severe
