claim_id,policy_id,claimant_id,accident_id,claim_date,claim_amount,status,processing_days
C000084,P23818,CL98788,A000084,2023-10-03,27459,Rejected,46
C000085,P90293,CL68108,A000085,2024-04-12,10868,Approved,7
C000086,P83434,CL13718,A000086,2023-03-15,1397,Rejected,8
C000087,P53837,CL27196,A000087,2024-07-18,24474,Rejected,48
C000088,P38440,CL92736,A000088,2024-08-20,40935,Pending,49
C000089,P76811,CL93816,A000089,2024-05-04,7188,Pending,49
C000090,P23618,CL26681,A000090,2023-12-01,6380,Rejected,60
C000091,P22529,CL82768,A000091,2024-04-08,42287,Rejected,48
C000092,P40562,CL19983,A000092,2025-01-30,46784,Approved,56
C000093,P56320,CL86148,A000093,2023-03-21,24149,Pending,39
C000094,P41855,CL36793,A000094,2024-12-03,1522,Rejected,55
C000095,P56095,CL21855,A000095,2023-06-30,30015,Pending,53
C000096,P87543,CL83240,A000096,2023-04-04,23589,Approved,54
C000097,P55704,CL53076,A000097,2023-03-12,41386,Rejected,54
C000098,P50448,CL05104,A000098,2023-03-05,7843,Pending,6
C000099,P54332,CL03725,A000099,2023-03-09,16320,Pending,5
C000100,P72365,CL59548,A000100,2024-09-14,37226,Rejected,39
C000101,P62916,CL09745,A000101,2024-03-09,11862,Rejected,31
C000102,P68128,CL73723,A000102,2025-02-23,25300,Rejected,8
C000103,P48122,CL88419,A000103,2024-06-15,41854,Rejected,11
C000104,P89127,CL72274,A000104,2023-06-10,5580,Rejected,15
C000105,P32571,CL53853,A000105,2024-06-02,8618,Approved,6
C000106,P11478,CL70182,A000106,2024-01-15,20698,Rejected,2
C000107,P45818,CL32653,A000107,2023-12-19,5365,Pending,60
C000108,P27224,CL53746,A000108,2024-06-06,34565,Approved,46
C000109,P62412,CL27413,A000109,2024-10-29,32184,Pending,31
C000110,P11224,CL43972,A000110,2024-02-09,6542,Rejected,48
C000111,P75109,CL86070,A000111,2024-05-06,23685,Approved,3
C000112,P96442,CL53771,A000112,2024-04-08,31646,Pending,47
C000113,P47824,CL18556,A000113,2024-12-04,9838,Rejected,6
C000114,P36635,CL20477,A000114,2023-04-26,40052,Approved,14
C000115,P67526,CL92232,A000115,2024-04-04,44937,Rejected,34
C000116,P81362,CL43255,A000116,2024-10-20,17510,Pending,34
C000117,P70590,CL84017,A000117,2024-02-14,11080,Pending,34
C000118,P92130,CL32367,A000118,2025-02-19,18877,Pending,46
C000119,P25686,CL56153,A000119,2023-06-01,18404,Approved,31
C000120,P69953,CL92793,A000120,2023-07-06,4642,Pending,9
C000121,P30990,CL80648,A000121,2024-07-23,10653,Approved,32
C000122,P64971,CL57685,A000122,2024-10-09,44547,Approved,1
C000123,P72884,CL42319,A000123,2023-06-23,24395,Rejected,32
C000124,P89866,CL02860,A000124,2024-09-21,12825,Pending,42
C000125,P97690,CL30287,A000125,2023-11-18,5599,Pending,6
C000126,P92479,CL33105,A000126,2023-07-15,2779,Rejected,45
C000127,P39055,CL78962,A000127,2024-05-07,29434,Approved,20
C000128,P45828,CL99511,A000128,2023-03-30,42867,Approved,23
C000129,P60278,CL11908,A000129,2024-10-02,3656,Rejected,11
C000130,P86359,CL59056,A000130,2024-01-17,40930,Pending,46
C000131,P93437,CL50599,A000131,2025-01-03,11362,Approved,10
C000132,P51605,CL57606,A000132,2024-08-02,34202,Pending,60
C000133,P23216,CL67438,A000133,2024-07-02,36158,Rejected,30
C000134,P11697,CL36341,A000134,2024-06-08,44194,Approved,26
C000135,P88217,CL17119,A000135,2024-05-23,45645,Rejected,50
C000136,P50766,CL41716,A000136,2023-07-14,19617,Approved,43
C000137,P92762,CL79187,A000137,2024-12-12,44737,Rejected,20
C000138,P20106,CL81396,A000138,2023-11-27,18374,Rejected,58
C000139,P95048,CL93736,A000139,2024-03-30,31489,Pending,9
C000140,P70481,CL65958,A000140,2025-02-02,47311,Approved,50
C000141,P33427,CL79709,A000141,2024-03-07,21393,Approved,17
C000142,P22098,CL25530,A000142,2023-09-14,35465,Rejected,49
C000143,P45701,CL84222,A000143,2024-03-25,46566,Approved,47
C000144,P52588,CL22870,A000144,2023-10-10,12092,Rejected,50
C000145,P20703,CL31324,A000145,2024-09-18,28870,Approved,51
C000146,P31209,CL21178,A000146,2025-02-15,48509,Pending,44
C000147,P70808,CL03351,A000147,2024-07-08,16740,Approved,14
C000148,P21327,CL24380,A000148,2023-07-12,16487,Pending,28
C000149,P27305,CL53838,A000149,2024-09-02,2464,Rejected,37
C000150,P69992,CL77432,A000150,2024-04-02,40532,Pending,32
C000151,P19065,CL41744,A000151,2025-02-16,4027,Rejected,47
C000152,P93181,CL77895,A000152,2024-05-18,13694,Rejected,3
C000153,P94848,CL65792,A000153,2025-02-22,22263,Pending,22
C000154,P41737,CL09679,A000154,2024-04-01,8422,Pending,50
C000155,P59358,CL35440,A000155,2024-05-21,14989,Pending,17
C000156,P85919,CL02335,A000156,2024-02-22,49037,Approved,45
C000157,P23159,CL66896,A000157,2024-06-08,35921,Approved,13
C000158,P66812,CL70148,A000158,2024-07-10,34844,Pending,30
C000159,P85514,CL64292,A000159,2023-05-13,12388,Approved,35
C000160,P17064,CL21004,A000160,2023-04-08,23637,Pending,10
C000161,P42990,CL29276,A000161,2024-05-14,27693,Pending,56
C000162,P66237,CL98533,A000162,2024-05-17,10042,Approved,59
C000163,P72223,CL98385,A000163,2023-11-18,25857,Rejected,37
C000164,P58158,CL25099,A000164,2025-01-16,24208,Rejected,14
C000165,P38201,CL40452,A000165,2023-04-29,4311,Pending,3
C000166,P86138,CL28402,A000166,2023-09-24,13113,Approved,3
C000167,P67288,CL68711,A000167,2024-04-25,28335,Rejected,58
C000168,P31608,CL10777,A000168,2024-07-02,37184,Approved,41
C000169,P56643,CL58333,A000169,2023-08-07,24816,Pending,21
C000170,P80777,CL12736,A000170,2024-05-22,44272,Pending,19
C000171,P97542,CL62789,A000171,2024-10-12,39541,Approved,17
C000172,P53502,CL39848,A000172,2024-03-21,23484,Rejected,60
C000173,P87798,CL92330,A000173,2024-10-26,33784,Rejected,50
C000174,P97631,CL41093,A000174,2024-01-24,41835,Rejected,38
C000175,P86076,CL71779,A000175,2023-10-27,48818,Approved,10
C000176,P52753,CL39801,A000176,2024-02-06,21513,Approved,10
C000177,P85792,CL96286,A000177,2023-03-08,36405,Approved,34
C000178,P23262,CL26440,A000178,2024-09-07,39038,Rejected,23
C000179,P48989,CL90102,A000179,2023-10-19,37167,Approved,44
C000180,P29375,CL54297,A000180,2025-02-05,40339,Rejected,45
C000181,P81171,CL05355,A000181,2024-11-11,49833,Pending,55
C000182,P63501,CL17173,A000182,2023-04-16,20937,Approved,24
C000183,P77164,CL10173,A000183,2025-01-05,18479,Pending,10
C000184,P17296,CL56950,A000184,2023-09-26,25716,Rejected,46
C000185,P22450,CL32085,A000185,2024-10-25,5664,Pending,31
C000186,P14446,CL93588,A000186,2025-02-05,43142,Rejected,9
C000187,P71211,CL04095,A000187,2025-02-02,49417,Pending,40
C000188,P49687,CL71837,A000188,2025-01-20,40664,Rejected,19
C000189,P29526,CL67276,A000189,2025-02-24,44636,Rejected,42
C000190,P87551,CL16180,A000190,2023-10-01,3546,Approved,57
C000191,P77029,CL83995,A000191,2024-02-27,4390,Rejected,1
C000192,P79660,CL94136,A000192,2023-06-21,17356,Pending,44
C000193,P41022,CL36981,A000193,2024-03-01,24179,Rejected,37
C000194,P99272,CL91840,A000194,2024-08-09,9737,Rejected,35
C000195,P11110,CL20794,A000195,2023-03-01,46577,Rejected,22
C000196,P45775,CL10602,A000196,2024-02-03,4215,Approved,57
C000197,P62986,CL62960,A000197,2023-09-11,48293,Approved,43
C000198,P60266,CL70516,A000198,2024-05-10,11036,Pending,18
C000199,P47330,CL13746,A000199,2023-07-15,14223,Pending,51
C000200,P25185,CL63666,A000200,2024-02-28,11922,Pending,42
C000201,P16683,CL98212,A000201,2023-10-08,34008,Rejected,4
C000202,P95853,CL33212,A000202,2023-11-26,41628,Rejected,34
C000203,P41020,CL27020,A000203,2023-12-22,26103,Approved,37
C000204,P22402,CL08329,A000204,2023-06-11,46890,Pending,35
C000205,P79081,CL21342,A000205,2023-09-25,10086,Pending,42
C000206,P67624,CL95609,A000206,2024-07-06,14463,Approved,1
C000207,P55499,CL33219,A000207,2024-11-21,21130,Pending,16
C000208,P69372,CL13768,A000208,2024-01-31,49433,Approved,47
C000209,P82437,CL97960,A000209,2023-12-19,12720,Approved,9
C000210,P21253,CL42694,A000210,2024-05-15,15588,Pending,44
C000211,P13386,CL83908,A000211,2023-09-01,23683,Pending,18
C000212,P80009,CL88716,A000212,2024-03-21,25999,Rejected,31
C000213,P85714,CL59319,A000213,2023-06-12,4373,Rejected,25
C000214,P61028,CL46670,A000214,2024-07-08,13412,Pending,57
C000215,P38394,CL77751,A000215,2024-07-12,36740,Rejected,13
C000216,P20963,CL73816,A000216,2025-01-07,39429,Rejected,5
C000217,P62525,CL42363,A000217,2024-09-26,10072,Rejected,9
C000218,P58547,CL17209,A000218,2023-11-27,7002,Approved,32
C000219,P23362,CL34742,A000219,2024-11-11,1276,Pending,40
C000220,P75675,CL78411,A000220,2023-06-19,48400,Approved,52
C000221,P13110,CL04716,A000221,2024-04-28,40515,Rejected,30
C000222,P65112,CL42189,A000222,2024-10-07,12172,Pending,59
C000223,P54120,CL95324,A000223,2024-03-02,15119,Approved,24
C000224,P47321,CL24184,A000224,2023-04-13,45399,Rejected,43
C000225,P65037,CL54168,A000225,2023-11-17,38201,Approved,51
C000226,P98800,CL90085,A000226,2025-01-27,8253,Pending,39
C000227,P10494,CL44058,A000227,2023-05-24,20878,Approved,23
C000228,P22874,CL88785,A000228,2023-03-21,32334,Approved,42
C000229,P24753,CL23500,A000229,2024-04-06,46226,Rejected,9
C000230,P58010,CL47881,A000230,2024-12-13,28977,Pending,18
C000231,P98603,CL42485,A000231,2023-10-02,5021,Rejected,25
C000232,P21990,CL94804,A000232,2025-02-05,30298,Rejected,41
C000233,P19350,CL64032,A000233,2023-06-14,34575,Pending,56
C000234,P79645,CL14841,A000234,2023-08-11,36454,Approved,50
C000235,P42531,CL75760,A000235,2024-06-14,738,Rejected,44
C000236,P36197,CL93075,A000236,2025-01-30,15923,Approved,9
C000237,P62845,CL02670,A000237,2024-05-22,8534,Approved,48
C000238,P27436,CL74898,A000238,2024-06-15,29267,Pending,32
C000239,P25415,CL27961,A000239,2023-07-14,19624,Rejected,50
C000240,P74186,CL49897,A000240,2023-07-22,47149,Rejected,2
C000241,P48289,CL98325,A000241,2024-07-06,11850,Approved,38
C000242,P67468,CL53985,A000242,2023-10-30,5379,Pending,39
C000243,P61302,CL88209,A000243,2023-08-15,49958,Rejected,2
C000244,P80891,CL46463,A000244,2023-12-13,4865,Pending,23
C000245,P35536,CL27807,A000245,2024-10-08,20294,Pending,14
C000246,P62085,CL83712,A000246,2024-06-03,46026,Pending,11
C000247,P46534,CL18083,A000247,2023-07-20,35417,Pending,49
C000248,P19940,CL84583,A000248,2024-09-02,39687,Pending,46
C000249,P93167,CL33022,A000249,2024-01-09,11821,Approved,13
C000250,P24495,CL60051,A000250,2023-09-02,30272,Pending,24
C000251,P50114,CL66677,A000251,2024-01-08,40607,Rejected,29
C000252,P33205,CL09505,A000252,2025-01-26,12963,Rejected,13
C000253,P72846,CL09678,A000253,2024-10-22,26629,Rejected,28
C000254,P88349,CL65638,A000254,2023-07-17,11855,Rejected,60
C000255,P48425,CL79531,A000255,2023-10-01,31430,Approved,14
C000256,P32558,CL67105,A000256,2023-05-08,1007,Pending,17
C000257,P81850,CL68418,A000257,2023-09-06,16677,Pending,25
C000258,P67770,CL44522,A000258,2023-10-19,20496,Rejected,47
C000259,P25543,CL73793,A000259,2024-04-27,20382,Approved,28
C000260,P93448,CL23116,A000260,2024-12-08,17641,Pending,26
C000261,P26813,CL74280,A000261,2023-06-08,49669,Approved,51
C000262,P24127,CL39613,A000262,2024-06-23,35313,Approved,1
C000263,P12031,CL96862,A000263,2024-05-09,49424,Rejected,28
C000264,P52209,CL80749,A000264,2024-07-14,11908,Pending,20
C000265,P19313,CL43951,A000265,2024-11-04,9165,Approved,12
C000266,P90994,CL51481,A000266,2024-04-18,46876,Rejected,46
C000267,P24436,CL30613,A000267,2024-12-22,14967,Approved,46
C000268,P56616,CL45088,A000268,2024-12-06,26618,Rejected,50
C000269,P57180,CL97404,A000269,2024-01-27,32265,Approved,8
C000270,P14965,CL89795,A000270,2024-02-13,37466,Approved,46
C000271,P29900,CL94068,A000271,2024-08-01,15321,Approved,20
C000272,P32441,CL06523,A000272,2024-03-12,2284,Approved,5
C000273,P18192,CL66374,A000273,2025-01-29,26910,Pending,15
C000274,P49075,CL50540,A000274,2024-12-06,45701,Pending,25
C000275,P34050,CL75474,A000275,2024-04-20,1881,Pending,35
C000276,P92790,CL63295,A000276,2023-10-09,36567,Rejected,22
C000277,P16979,CL12344,A000277,2023-07-26,4578,Approved,59
C000278,P19464,CL83337,A000278,2024-03-13,13879,Rejected,17
C000279,P68862,CL49552,A000279,2023-07-05,28978,Approved,10
C000280,P92859,CL80172,A000280,2024-10-03,24835,Pending,10
C000281,P43420,CL07704,A000281,2024-08-27,39443,Rejected,23
C000282,P24245,CL50239,A000282,2025-01-31,31176,Approved,26
C000283,P57286,CL48582,A000283,2023-11-14,49277,Rejected,56
C000284,P57300,CL29572,A000284,2023-09-03,44655,Approved,11
C000285,P86725,CL66674,A000285,2024-08-13,20341,Rejected,14
C000286,P84290,CL24713,A000286,2024-08-28,32030,Pending,52
C000287,P39376,CL31404,A000287,2024-08-03,15768,Rejected,50
C000288,P92772,CL82862,A000288,2023-11-18,7441,Pending,16
C000289,P27724,CL64450,A000289,2024-01-08,44040,Rejected,50
C000290,P39386,CL29433,A000290,2024-10-16,3235,Rejected,42
C000291,P59181,CL41601,A000291,2024-12-14,44612,Rejected,57
C000292,P88292,CL60361,A000292,2024-07-01,45525,Pending,53
C000293,P28296,CL16310,A000293,2023-07-09,11841,Approved,21
C000294,P41966,CL07579,A000294,2023-03-14,11664,Rejected,37
C000295,P18042,CL85825,A000295,2023-07-30,20008,Pending,57
C000296,P65714,CL49705,A000296,2024-06-30,42472,Pending,25
C000297,P78641,CL02835,A000297,2024-09-23,9983,Approved,24
C000298,P48909,CL68714,A000298,2024-11-20,48175,Approved,37
C000299,P27339,CL33445,A000299,2024-08-24,28507,Rejected,34
C000300,P25282,CL07132,A000300,2024-06-01,5492,Pending,15
C000301,P33710,CL08972,A000301,2024-03-27,33706,Pending,46
C000302,P47197,CL02401,A000302,2023-07-07,32197,Approved,8
C000303,P46154,CL28171,A000303,2024-09-27,45725,Rejected,13
C000304,P17579,CL73752,A000304,2024-10-11,32577,Approved,30
C000305,P91963,CL38864,A000305,2023-07-16,24880,Pending,59
C000306,P48855,CL95429,A000306,2024-02-18,38387,Approved,26
C000307,P30966,CL39051,A000307,2024-01-03,20348,Rejected,60
C000308,P63440,CL39018,A000308,2024-02-05,38653,Rejected,25
C000309,P12185,CL29771,A000309,2023-07-31,12598,Approved,15
C000310,P64269,CL31994,A000310,2024-09-11,46093,Pending,20
C000311,P47015,CL38636,A000311,2024-01-13,12947,Rejected,30
C000312,P63242,CL14508,A000312,2024-07-06,26576,Rejected,15
C000313,P11523,CL79059,A000313,2025-01-18,32695,Pending,6
C000314,P85733,CL15842,A000314,2023-08-26,14528,Approved,52
C000315,P68078,CL24840,A000315,2024-06-30,15105,Pending,12
C000316,P30634,CL23081,A000316,2024-06-16,28318,Approved,23
C000317,P70410,CL73447,A000317,2025-02-17,47174,Rejected,28
C000318,P87277,CL91799,A000318,2024-07-05,25970,Pending,42
C000319,P10158,CL25885,A000319,2024-08-15,28033,Approved,36
C000320,P22309,CL84000,A000320,2024-08-01,47365,Approved,3
C000321,P10515,CL38647,A000321,2024-10-02,5800,Pending,18
C000322,P75497,CL65821,A000322,2025-02-01,21563,Pending,53
C000323,P26644,CL63997,A000323,2024-12-15,21119,Approved,48
C000324,P14247,CL61947,A000324,2024-03-23,36519,Pending,26
C000325,P70078,CL36828,A000325,2023-07-21,46115,Rejected,20
C000326,P59357,CL52610,A000326,2025-02-22,39234,Approved,55
C000327,P63247,CL20693,A000327,2023-10-07,1696,Approved,53
C000328,P29932,CL68345,A000328,2023-12-13,23336,Rejected,59
C000329,P98998,CL06259,A000329,2024-06-21,42260,Pending,37
C000330,P46430,CL38852,A000330,2024-12-20,40891,Rejected,36
C000331,P52167,CL17011,A000331,2024-12-01,15143,Pending,41
C000332,P97925,CL36878,A000332,2023-04-24,12989,Pending,54
C000333,P81439,CL99387,A000333,2023-05-08,1121,Approved,21
C000334,P12453,CL95401,A000334,2023-05-24,33371,Rejected,20
C000335,P49176,CL38700,A000335,2024-08-02,33173,Approved,29
C000336,P23081,CL15760,A000336,2023-11-23,37251,Approved,26
C000337,P19367,CL72512,A000337,2024-08-22,24001,Pending,17
C000338,P21500,CL39849,A000338,2023-12-04,1621,Pending,39
C000339,P88374,CL65487,A000339,2023-10-11,1169,Approved,10
C000340,P58632,CL90994,A000340,2024-11-27,10087,Pending,38
C000341,P85976,CL42268,A000341,2023-04-03,31235,Approved,5
C000342,P64399,CL74276,A000342,2024-11-17,31655,Pending,9
C000343,P97423,CL13599,A000343,2023-04-03,33885,Pending,20
C000344,P25096,CL21654,A000344,2024-01-25,48513,Pending,15
C000345,P29286,CL63939,A000345,2025-02-24,13791,Rejected,42
C000346,P83981,CL08246,A000346,2025-01-21,10355,Approved,4
C000347,P16321,CL73230,A000347,2023-05-18,31113,Pending,60
C000348,P89303,CL10578,A000348,2024-12-27,41363,Rejected,33
C000349,P68484,CL42805,A000349,2023-10-14,41382,Rejected,32
C000350,P84858,CL52461,A000350,2024-07-19,4189,Rejected,16
C000351,P71577,CL24908,A000351,2023-03-21,28840,Pending,22
C000352,P61518,CL92191,A000352,2025-01-01,5083,Approved,55
C000353,P81149,CL48706,A000353,2024-07-19,22197,Approved,1
C000354,P81207,CL12771,A000354,2023-08-07,49155,Pending,8
C000355,P83355,CL03737,A000355,2023-07-26,32659,Approved,45
C000356,P78436,CL26508,A000356,2023-12-25,32053,Rejected,36
C000357,P82605,CL53721,A000357,2024-11-09,2624,Pending,40
C000358,P70020,CL72236,A000358,2023-07-29,32815,Rejected,38
C000359,P62556,CL24145,A000359,2025-02-12,22433,Pending,39
C000360,P58616,CL89986,A000360,2023-07-29,31739,Pending,59
C000361,P21505,CL12851,A000361,2023-09-09,14314,Pending,9
C000362,P89612,CL56731,A000362,2023-07-09,15468,Pending,19
C000363,P99938,CL07206,A000363,2023-06-10,28535,Pending,15
C000364,P52628,CL84752,A000364,2024-01-13,15878,Rejected,39
C000365,P79549,CL03102,A000365,2023-07-26,34021,Pending,1
C000366,P28325,CL29653,A000366,2025-01-31,44428,Rejected,32
C000367,P25062,CL83989,A000367,2023-11-23,31476,Rejected,33
C000368,P85248,CL11917,A000368,2024-12-05,26866,Pending,10
C000369,P35816,CL68217,A000369,2024-02-17,4761,Rejected,46
C000370,P85701,CL87472,A000370,2024-08-30,34207,Rejected,57
C000371,P67047,CL84764,A000371,2024-07-15,4069,Rejected,59
C000372,P43431,CL85808,A000372,2023-09-25,38343,Rejected,12
C000373,P28709,CL51682,A000373,2024-03-15,18064,Pending,26
C000374,P58233,CL46806,A000374,2024-03-06,33393,Rejected,49
C000375,P48153,CL21615,A000375,2024-10-24,35542,Pending,51
C000376,P43404,CL72505,A000376,2024-05-16,43907,Pending,5
C000377,P23546,CL02569,A000377,2024-03-18,13285,Rejected,50
C000378,P28281,CL18001,A000378,2025-01-31,45904,Pending,30
C000379,P55145,CL77811,A000379,2024-05-02,2337,Approved,54
C000380,P24221,CL04852,A000380,2023-09-10,18020,Pending,9
C000381,P83125,CL38124,A000381,2023-03-01,12563,Approved,35
C000382,P14026,CL60447,A000382,2025-01-14,48724,Approved,47
C000383,P81903,CL51336,A000383,2023-10-16,41123,Approved,4
C000384,P77197,CL89001,A000384,2023-08-20,30471,Rejected,5
C000385,P92648,CL84283,A000385,2023-03-07,23112,Approved,14
C000386,P73001,CL57978,A000386,2024-02-03,42892,Pending,3
C000387,P65531,CL39450,A000387,2024-05-12,26315,Rejected,16
C000388,P25950,CL95604,A000388,2023-07-01,42966,Pending,17
C000389,P96738,CL44170,A000389,2023-09-16,15971,Rejected,30
C000390,P62831,CL77041,A000390,2023-07-25,13954,Approved,44
C000391,P79984,CL99676,A000391,2024-04-20,17804,Pending,27
C000392,P78882,CL99667,A000392,2024-08-20,24588,Approved,13
C000393,P60967,CL67314,A000393,2024-09-20,3202,Rejected,3
C000394,P70121,CL79774,A000394,2025-01-31,3629,Rejected,59
C000395,P91949,CL95779,A000395,2023-12-21,38487,Pending,6
C000396,P31835,CL24746,A000396,2025-02-04,36751,Rejected,20
C000397,P39197,CL80897,A000397,2023-06-16,35097,Pending,52
C000398,P90394,CL49975,A000398,2023-12-27,10634,Approved,55
C000399,P30413,CL63117,A000399,2023-10-25,42467,Rejected,15
C000400,P69974,CL19044,A000400,2023-10-23,11837,Approved,59
C000401,P61357,CL56726,A000401,2025-02-15,33187,Rejected,29
C000402,P71003,CL89831,A000402,2023-02-27,41994,Pending,52
C000403,P38996,CL99372,A000403,2024-12-18,1389,Approved,11
C000404,P40353,CL26274,A000404,2024-11-06,38330,Pending,51
C000405,P58159,CL63115,A000405,2024-03-27,19493,Rejected,30
C000406,P95527,CL49318,A000406,2023-09-03,28912,Rejected,5
C000407,P67496,CL68730,A000407,2024-09-06,30428,Rejected,51
C000408,P95873,CL17085,A000408,2024-03-18,12609,Pending,55
C000409,P40273,CL37772,A000409,2023-06-20,26883,Pending,29
C000410,P59151,CL46880,A000410,2023-11-22,36333,Rejected,25
C000411,P51234,CL98538,A000411,2024-04-18,32085,Rejected,9
C000412,P68127,CL59940,A000412,2023-05-03,37298,Approved,44
C000413,P93105,CL42221,A000413,2024-06-16,42181,Rejected,39
C000414,P73684,CL14083,A000414,2024-03-04,22491,Pending,35
C000415,P40478,CL91419,A000415,2024-10-06,26552,Approved,42
C000416,P79555,CL09727,A000416,2023-12-14,10255,Pending,52
C000417,P40081,CL02266,A000417,2023-09-02,14496,Rejected,14
