vehicle_id,accident_id,make,model,year
V000082,A000082,Ford,Matter,2009
V000083,A000083,Ford,Blue,2021
V000084,A000084,Honda,Know,2000
V000085,A000085,Ford,White,2016
V000086,A000086,Ford,Mind,2007
V000087,A000087,BMW,Moment,2023
V000088,A000088,BMW,According,2011
V000089,A000089,Ford,Cell,2002
V000090,A000090,Ford,Recently,2011
V000091,A000091,Ford,Old,2011
V000092,A000092,BMW,Step,2019
V000093,A000093,Ford,Question,2015
V000094,A000094,BMW,Personal,2000
V000095,A000095,Honda,Southern,2000
V000096,A000096,Toyota,Quality,2016
V000097,A000097,Ford,Pick,2012
V000098,A000098,BMW,Pattern,2012
V000099,A000099,Ford,Eye,2013
V000100,A000100,Ford,With,2011
V000101,A000101,Honda,Father,2005
V000102,A000102,Honda,Both,2017
V000103,A000103,Honda,Black,2019
V000104,A000104,Honda,Ball,2014
V000105,A000105,Honda,Floor,2014
V000106,A000106,Honda,Drive,2001
V000107,A000107,Toyota,She,2023
V000108,A000108,BMW,Feeling,2012
V000109,A000109,Ford,Many,2021
V000110,A000110,Toyota,Growth,2021
V000111,A000111,BMW,Fast,2000
V000112,A000112,BMW,Phone,2023
V000113,A000113,Ford,Skin,2021
V000114,A000114,Honda,Energy,2013
V000115,A000115,Ford,Quickly,2002
V000116,A000116,BMW,Reduce,2007
V000117,A000117,Toyota,Break,2015
V000118,A000118,Ford,Generation,2007
V000119,A000119,Ford,Agreement,2007
V000120,A000120,Honda,Relationship,2021
V000121,A000121,Ford,Fly,2002
V000122,A000122,BMW,Small,2010
V000123,A000123,Toyota,Make,2007
V000124,A000124,Honda,Into,2008
V000125,A000125,Honda,Manage,2008
V000126,A000126,BMW,Surface,2023
V000127,A000127,Honda,Kid,2009
V000128,A000128,Honda,Treatment,2020
V000129,A000129,Toyota,Low,2012
V000130,A000130,Toyota,Animal,2015
V000131,A000131,Honda,Speech,2003
V000132,A000132,Toyota,Front,2007
V000133,A000133,BMW,Model,2009
V000134,A000134,BMW,Law,2010
V000135,A000135,BMW,Value,2003
V000136,A000136,Honda,World,2019
V000137,A000137,Honda,Large,2001
V000138,A000138,BMW,Event,2006
V000139,A000139,Honda,Future,2016
V000140,A000140,BMW,Always,2004
V000141,A000141,BMW,Data,2002
V000142,A000142,BMW,Pay,2003
V000143,A000143,Ford,Safe,2004
V000144,A000144,BMW,Left,2018
V000145,A000145,Honda,Build,2018
V000146,A000146,Honda,Budget,2000
V000147,A000147,Ford,Hundred,2022
V000148,A000148,BMW,Mother,2004
V000149,A000149,Honda,Source,2017
V000150,A000150,Ford,Message,2013
V000151,A000151,Toyota,Likely,2004
V000152,A000152,Ford,Fish,2011
V000153,A000153,Honda,Serious,2007
V000154,A000154,Honda,Speak,2010
V000155,A000155,Honda,Word,2020
V000156,A000156,BMW,Grow,2008
V000157,A000157,Toyota,Left,2003
V000158,A000158,Honda,Film,2009
V000159,A000159,BMW,Program,2023
V000160,A000160,Ford,Whole,2002
V000161,A000161,Honda,Everyone,2017
V000162,A000162,Toyota,Agent,2017
V000163,A000163,BMW,Throw,2017
V000164,A000164,BMW,Blood,2022
V000165,A000165,Toyota,President,2004
V000166,A000166,Toyota,Customer,2006
V000167,A000167,Honda,Major,2001
V000168,A000168,Ford,Main,2008
V000169,A000169,BMW,Control,2023
V000170,A000170,Honda,East,2019
V000171,A000171,Toyota,Bank,2014
V000172,A000172,BMW,There,2019
V000173,A000173,BMW,Capital,2005
V000174,A000174,BMW,Fear,2005
V000175,A000175,Honda,Through,2016
V000176,A000176,Toyota,Dark,2014
V000177,A000177,Honda,Address,2003
V000178,A000178,BMW,Wait,2009
V000179,A000179,BMW,People,2007
V000180,A000180,Toyota,Director,2017
V000181,A000181,Ford,Base,2007
V000182,A000182,Toyota,Stock,2008
V000183,A000183,Honda,Film,2016
V000184,A000184,Toyota,Couple,2019
V000185,A000185,Ford,Choice,2012
V000186,A000186,Honda,Second,2001
V000187,A000187,Toyota,Author,2000
V000188,A000188,Honda,National,2023
V000189,A000189,Ford,Cover,2001
V000190,A000190,Honda,Time,2003
V000191,A000191,BMW,World,2008
V000192,A000192,Ford,Those,2016
V000193,A000193,BMW,Say,2019
V000194,A000194,Honda,Home,2011
V000195,A000195,Toyota,Evening,2000
V000196,A000196,Ford,Ago,2018
V000197,A000197,Honda,Charge,2012
V000198,A000198,BMW,Pick,2020
V000199,A000199,Ford,Happy,2007
V000200,A000200,Ford,Exactly,2011
V000201,A000201,Honda,Discover,2020
V000202,A000202,BMW,Dream,2017
V000203,A000203,Ford,Sit,2006
V000204,A000204,BMW,Might,2017
V000205,A000205,Honda,Meeting,2023
V000206,A000206,BMW,Attack,2001
V000207,A000207,BMW,More,2021
V000208,A000208,Ford,Line,2007
V000209,A000209,Honda,Far,2010
V000210,A000210,Toyota,Thought,2021
V000211,A000211,Honda,Recently,2016
V000212,A000212,Toyota,Baby,2005
V000213,A000213,Honda,Base,2015
V000214,A000214,Honda,Thank,2018
V000215,A000215,Ford,Must,2016
V000216,A000216,BMW,Environment,2020
V000217,A000217,Toyota,Land,2020
V000218,A000218,Toyota,Throw,2002
V000219,A000219,Toyota,Class,2004
V000220,A000220,Ford,Property,2022
V000221,A000221,Honda,By,2023
V000222,A000222,Toyota,From,2006
V000223,A000223,Ford,Positive,2022
V000224,A000224,Honda,Anything,2000
V000225,A000225,Toyota,Herself,2017
V000226,A000226,BMW,Eight,2003
V000227,A000227,Ford,Result,2004
V000228,A000228,Toyota,Per,2002
V000229,A000229,BMW,Executive,2000
V000230,A000230,Toyota,Section,2015
V000231,A000231,BMW,Generation,2006
V000232,A000232,Ford,Identify,2009
V000233,A000233,BMW,Suddenly,2010
V000234,A000234,Honda,Certainly,2020
V000235,A000235,Ford,Quality,2008
V000236,A000236,BMW,Tend,2000
V000237,A000237,Toyota,Nature,2018
V000238,A000238,Toyota,Kitchen,2017
V000239,A000239,BMW,Particular,2007
V000240,A000240,Ford,Piece,2007
V000241,A000241,Toyota,City,2012
V000242,A000242,Ford,Very,2021
V000243,A000243,Ford,Group,2009
V000244,A000244,Honda,Although,2005
V000245,A000245,BMW,Close,2021
V000246,A000246,Honda,Three,2017
V000247,A000247,Toyota,Term,2022
V000248,A000248,Toyota,Contain,2010
V000249,A000249,Toyota,Discuss,2018
V000250,A000250,Honda,Debate,2002
V000251,A000251,Honda,Teacher,2007
V000252,A000252,Honda,To,2017
V000253,A000253,Ford,Rate,2005
V000254,A000254,BMW,Dream,2023
V000255,A000255,Honda,Reason,2009
V000256,A000256,Honda,Near,2004
V000257,A000257,Honda,Member,2009
V000258,A000258,Toyota,Join,2007
V000259,A000259,BMW,After,2023
V000260,A000260,Honda,Poor,2019
V000261,A000261,Ford,Stage,2018
V000262,A000262,BMW,Story,2005
V000263,A000263,Toyota,Artist,2016
V000264,A000264,Honda,Theory,2017
V000265,A000265,Honda,As,2013
V000266,A000266,Ford,Herself,2011
V000267,A000267,Honda,Red,2002
V000268,A000268,Toyota,Agency,2016
V000269,A000269,Ford,Paper,2016
V000270,A000270,Honda,Word,2010
V000271,A000271,BMW,Budget,2012
V000272,A000272,BMW,Impact,2008
V000273,A000273,Ford,Travel,2005
V000274,A000274,Honda,Care,2000
V000275,A000275,Toyota,General,2002
V000276,A000276,Honda,Policy,2005
V000277,A000277,Toyota,Sign,2001
V000278,A000278,Toyota,Company,2000
V000279,A000279,Toyota,Heart,2002
V000280,A000280,Toyota,Nature,2005
V000281,A000281,BMW,Save,2019
V000282,A000282,Toyota,If,2012
V000283,A000283,Honda,This,2021
V000284,A000284,BMW,Fight,2000
V000285,A000285,Ford,Song,2017
V000286,A000286,Toyota,Contain,2014
V000287,A000287,Toyota,Audience,2001
V000288,A000288,BMW,Really,2023
V000289,A000289,Ford,Establish,2000
V000290,A000290,Ford,Material,2000
V000291,A000291,BMW,Fly,2016
V000292,A000292,Honda,Wonder,2019
V000293,A000293,Toyota,Can,2003
V000294,A000294,Honda,Him,2009
V000295,A000295,Honda,Marriage,2012
V000296,A000296,Honda,Challenge,2003
V000297,A000297,BMW,Voice,2005
V000298,A000298,Toyota,Adult,2021
V000299,A000299,Honda,Court,2000
V000300,A000300,Honda,Article,2002
V000301,A000301,Ford,Box,2020
V000302,A000302,Ford,Man,2002
V000303,A000303,Toyota,Mr,2000
V000304,A000304,BMW,Or,2005
V000305,A000305,Honda,Spring,2011
V000306,A000306,Ford,Seek,2018
V000307,A000307,Toyota,Life,2000
V000308,A000308,Ford,Who,2020
V000309,A000309,BMW,Economy,2017
V000310,A000310,Honda,Because,2003
V000311,A000311,Toyota,Ability,2010
V000312,A000312,Toyota,Position,2017
V000313,A000313,BMW,Type,2019
V000314,A000314,Ford,Room,2002
V000315,A000315,Toyota,Continue,2008
V000316,A000316,Toyota,Court,2000
V000317,A000317,Ford,Throughout,2018
V000318,A000318,Toyota,Former,2008
V000319,A000319,BMW,Then,2003
V000320,A000320,Ford,Girl,2013
V000321,A000321,Honda,Model,2000
V000322,A000322,Toyota,Move,2013
V000323,A000323,BMW,Beautiful,2018
V000324,A000324,BMW,Explain,2022
V000325,A000325,Toyota,Among,2021
V000326,A000326,Honda,Run,2020
V000327,A000327,BMW,Only,2017
V000328,A000328,Toyota,Guess,2001
V000329,A000329,Ford,Buy,2014
V000330,A000330,Honda,Move,2005
V000331,A000331,Ford,Coach,2021
V000332,A000332,Toyota,Head,2002
V000333,A000333,Honda,Fly,2004
V000334,A000334,Honda,Fish,2009
V000335,A000335,Honda,Three,2013
V000336,A000336,Ford,Really,2008
V000337,A000337,Honda,Plan,2021
V000338,A000338,BMW,South,2000
V000339,A000339,BMW,Much,2010
V000340,A000340,BMW,Partner,2008
V000341,A000341,Honda,Animal,2002
V000342,A000342,Ford,Recognize,2001
V000343,A000343,BMW,Any,2011
V000344,A000344,Honda,Too,2006
V000345,A000345,Honda,Suddenly,2006
V000346,A000346,Ford,Who,2015
V000347,A000347,Toyota,Media,2013
V000348,A000348,Ford,Goal,2019
V000349,A000349,Honda,Make,2020
V000350,A000350,Honda,Agree,2023
V000351,A000351,Toyota,Wide,2021
V000352,A000352,Ford,Hope,2014
V000353,A000353,Honda,Tough,2001
V000354,A000354,Honda,Mission,2018
V000355,A000355,Toyota,Draw,2005
V000356,A000356,Honda,Beat,2021
V000357,A000357,Toyota,Not,2015
V000358,A000358,Toyota,Rock,2011
V000359,A000359,Honda,Report,2007
V000360,A000360,BMW,Second,2017
V000361,A000361,Ford,Hit,2018
V000362,A000362,Toyota,Account,2001
V000363,A000363,BMW,Identify,2008
V000364,A000364,Honda,Mouth,2007
V000365,A000365,Toyota,Write,2010
V000366,A000366,BMW,Pressure,2002
V000367,A000367,BMW,Tax,2006
V000368,A000368,Toyota,In,2021
V000369,A000369,Toyota,Hold,2005
V000370,A000370,Ford,Report,2010
V000371,A000371,Ford,Dog,2022
V000372,A000372,Ford,Summer,2023
V000373,A000373,Ford,Visit,2011
V000374,A000374,Honda,Run,2019
V000375,A000375,BMW,Environmental,2008
V000376,A000376,Honda,Study,2012
V000377,A000377,Toyota,Much,2000
V000378,A000378,Ford,Rock,2018
V000379,A000379,Honda,Buy,2014
V000380,A000380,Honda,Get,2006
V000381,A000381,Toyota,Grow,2004
V000382,A000382,Honda,Father,2018
V000383,A000383,BMW,Political,2000
V000384,A000384,Ford,Beautiful,2018
V000385,A000385,BMW,Collection,2018
V000386,A000386,Toyota,American,2005
V000387,A000387,Honda,We,2014
V000388,A000388,BMW,Team,2021
V000389,A000389,BMW,Himself,2020
V000390,A000390,Ford,Full,2011
V000391,A000391,BMW,Contain,2013
V000392,A000392,Ford,End,2018
V000393,A000393,BMW,Bank,2003
V000394,A000394,Ford,Their,2011
V000395,A000395,Ford,Officer,2020
V000396,A000396,Toyota,Score,2017
V000397,A000397,Honda,Memory,2002
V000398,A000398,Toyota,Center,2019
V000399,A000399,Honda,Season,2000
V000400,A000400,Toyota,Election,2008
V000401,A000401,Toyota,Appear,2000
V000402,A000402,Ford,Win,2016
V000403,A000403,Toyota,Kitchen,2022
V000404,A000404,Honda,Become,2018
V000405,A000405,Ford,Just,2020
V000406,A000406,Toyota,House,2010
V000407,A000407,Toyota,True,2006
V000408,A000408,Ford,Professional,2007
V000409,A000409,Ford,Culture,2022
V000410,A000410,BMW,Go,2008
V000411,A000411,Ford,Maintain,2004
V000412,A000412,BMW,Trouble,2015
V000413,A000413,Toyota,Begin,2022
V000414,A000414,Toyota,Fill,2004
V000415,A000415,Honda,Lawyer,2014
V000416,A000416,Ford,Society,2000
V000417,A000417,Toyota,Animal,2011
V000418,A000418,Honda,Physical,2004
V000419,A000419,Honda,Argue,2010
V000420,A000420,BMW,Enough,2011
V000421,A000421,BMW,Somebody,2007
V000422,A000422,Toyota,Where,2011
V000423,A000423,BMW,Mean,2006
V000424,A000424,Ford,Good,2010
V000425,A000425,Honda,Also,2020
V000426,A000426,Toyota,Health,2010
V000427,A000427,Ford,Speak,2005
V000428,A000428,Honda,Still,2000
V000429,A000429,Honda,Office,2014
V000430,A000430,Honda,Lead,2012
V000431,A000431,Ford,Third,2014
V000432,A000432,Ford,Respond,2011
V000433,A000433,Honda,Part,2015
V000434,A000434,Ford,Enough,2023
V000435,A000435,Toyota,Peace,2019
V000436,A000436,BMW,Late,2003
V000437,A000437,Toyota,Star,2001
V000438,A000438,Ford,Out,2013
V000439,A000439,Ford,City,2019
V000440,A000440,Toyota,Imagine,2003
V000441,A000441,Ford,Quite,2020
V000442,A000442,Honda,Resource,2002
V000443,A000443,Ford,Man,2005
V000444,A000444,Honda,Factor,2014
V000445,A000445,Toyota,Top,2023
V000446,A000446,Toyota,Leave,2009
V000447,A000447,Ford,Suffer,2021
V000448,A000448,Ford,Speak,2012
V000449,A000449,Honda,Black,2012
V000450,A000450,Honda,Else,2019
V000451,A000451,BMW,Rule,2006
V000452,A000452,Toyota,Threat,2015
V000453,A000453,Honda,Possible,2022
V000454,A000454,Honda,Seem,2014
V000455,A000455,BMW,Himself,2011
V000456,A000456,Toyota,Simple,2009
V000457,A000457,Ford,Something,2017
V000458,A000458,Toyota,Person,2000
V000459,A000459,Toyota,Left,2012
V000460,A000460,Honda,Fund,2003
V000461,A000461,Honda,Example,2002
V000462,A000462,Toyota,Hour,2023
V000463,A000463,BMW,Of,2013
V000464,A000464,Ford,Bag,2020
V000465,A000465,Ford,Hope,2021
V000466,A000466,Ford,This,2005
V000467,A000467,Toyota,Of,2009
V000468,A000468,Toyota,Return,2000
V000469,A000469,Ford,International,2000
V000470,A000470,Toyota,So,2002
V000471,A000471,BMW,Mean,2021
V000472,A000472,Ford,Imagine,2016
V000473,A000473,Toyota,State,2010
V000474,A000474,Toyota,Design,2017
V000475,A000475,BMW,Plan,2003
V000476,A000476,Ford,Point,2023
V000477,A000477,Ford,Art,2014
V000478,A000478,Honda,Tonight,2018
V000479,A000479,Honda,Last,2002
V000480,A000480,Toyota,Book,2015
V000481,A000481,Toyota,Sign,2014
V000482,A000482,Ford,Deep,2022
V000483,A000483,BMW,Former,2001
V000484,A000484,Ford,Within,2007
V000485,A000485,Ford,Also,2017
V000486,A000486,BMW,Site,2015
V000487,A000487,Toyota,Consider,2003
V000488,A000488,Honda,Explain,2023
V000489,A000489,Honda,Sure,2016
V000490,A000490,Ford,Agency,2020
V000491,A000491,BMW,Image,2014
V000492,A000492,Ford,Miss,2018
V000493,A000493,BMW,Because,2019
V000494,A000494,BMW,Teach,2021
V000495,A000495,BMW,Paper,2021
V000496,A000496,Toyota,Condition,2004
V000497,A000497,Honda,Build,2020
V000498,A000498,Toyota,Cold,2006
V000499,A000499,BMW,Card,2021
V000500,A000500,Toyota,Notice,2015
V000501,A000501,Ford,Resource,2018
V000502,A000502,BMW,Want,2013
V000503,A000503,Ford,Mr,2008
V000504,A000504,Ford,Attention,2006
V000505,A000505,BMW,Successful,2002
V000506,A000506,Toyota,Move,2021
V000507,A000507,BMW,Direction,2012
V000508,A000508,Toyota,Business,2006
V000509,A000509,Toyota,Why,2018
V000510,A000510,BMW,Maintain,2001
V000511,A000511,Honda,Beyond,2008
V000512,A000512,Ford,Inside,2019
V000513,A000513,Toyota,Analysis,2013
V000514,A000514,BMW,Federal,2006
V000515,A000515,BMW,Parent,2019
V000516,A000516,Toyota,From,2016
V000517,A000517,Ford,Hour,2012
V000518,A000518,Honda,Indeed,2008
V000519,A000519,Toyota,Contain,2010
V000520,A000520,BMW,Ask,2014
V000521,A000521,Honda,Civil,2007
V000522,A000522,BMW,Trip,2017
V000523,A000523,Honda,Year,2023
V000524,A000524,Honda,Risk,2000
V000525,A000525,BMW,Product,2007
V000526,A000526,Honda,Might,2011
V000527,A000527,Toyota,Add,2008
V000528,A000528,Ford,Seven,2007
V000529,A000529,BMW,Quite,2004
V000530,A000530,BMW,Hope,2002
V000531,A000531,Toyota,Own,2023
V000532,A000532,Toyota,Often,2014
V000533,A000533,Toyota,Keep,2010
V000534,A000534,BMW,Yet,2000
V000535,A000535,BMW,Push,2014
V000536,A000536,Toyota,Outside,2011
V000537,A000537,BMW,Order,2007
V000538,A000538,Toyota,Yard,2014
V000539,A000539,BMW,Suggest,2018
V000540,A000540,BMW,Firm,2000
V000541,A000541,Honda,House,2008
V000542,A000542,Toyota,Represent,2001
V000543,A000543,BMW,Under,2016
V000544,A000544,Toyota,Environment,2017
V000545,A000545,Toyota,Make,2016
V000546,A000546,Toyota,Group,2020
V000547,A000547,Honda,Wide,2003
V000548,A000548,Ford,When,2015
V000549,A000549,BMW,They,2010
V000550,A000550,Ford,Fish,2005
V000551,A000551,Honda,Sort,2023
V000552,A000552,BMW,Rise,2008
V000553,A000553,Toyota,But,2001
V000554,A000554,BMW,Hear,2002
V000555,A000555,Honda,Fund,2021
V000556,A000556,Toyota,Money,2020
V000557,A000557,Ford,Hit,2023
V000558,A000558,Toyota,Only,2000
V000559,A000559,Honda,Organization,2011
V000560,A000560,Ford,Medical,2010
V000561,A000561,Ford,Environment,2021
V000562,A000562,Honda,Site,2006
V000563,A000563,Toyota,People,2022
V000564,A000564,BMW,Chance,2016
V000565,A000565,Ford,Act,2003
V000566,A000566,Honda,Price,2009
V000567,A000567,Ford,Participant,2000
V000568,A000568,Toyota,Doctor,2017
V000569,A000569,Ford,Realize,2006
V000570,A000570,Toyota,Fill,2017
V000571,A000571,Honda,Seat,2018
V000572,A000572,Ford,Charge,2012
V000573,A000573,Ford,Break,2017
V000574,A000574,Toyota,Drive,2012
V000575,A000575,Toyota,Democrat,2012
V000576,A000576,BMW,Help,2016
V000577,A000577,Toyota,Program,2018
V000578,A000578,BMW,Black,2018
V000579,A000579,BMW,Talk,2006
V000580,A000580,Honda,Wife,2001
V000581,A000581,Toyota,Risk,2020
V000582,A000582,Toyota,Get,2018
V000583,A000583,Toyota,Practice,2006
V000584,A000584,Toyota,Minute,2016
V000585,A000585,Ford,These,2020
V000586,A000586,Toyota,Huge,2012
V000587,A000587,Toyota,Ready,2010
V000588,A000588,Honda,Program,2019
V000589,A000589,Honda,Country,2019
V000590,A000590,Ford,Writer,2021
V000591,A000591,Ford,Western,2006
V000592,A000592,Honda,None,2016
V000593,A000593,Toyota,Manager,2003
V000594,A000594,Ford,Young,2007
V000595,A000595,Toyota,Instead,2012
V000596,A000596,Ford,Rise,2003
V000597,A000597,BMW,Stand,2022
V000598,A000598,Ford,Page,2013
V000599,A000599,Honda,Task,2003
V000600,A000600,Toyota,Air,2008
V000601,A000601,Toyota,Term,2013
V000602,A000602,Honda,Part,2002
V000603,A000603,Toyota,Great,2010
V000604,A000604,Ford,Instead,2000
V000605,A000605,Honda,Than,2006
V000606,A000606,Toyota,Realize,2008
V000607,A000607,Toyota,Stay,2008
V000608,A000608,BMW,Decide,2022
V000609,A000609,Honda,Office,2015
V000610,A000610,BMW,Attorney,2013
V000611,A000611,Ford,Drop,2001
V000612,A000612,Toyota,Million,2013
V000613,A000613,BMW,Beautiful,2011
V000614,A000614,Honda,Management,2011
V000615,A000615,BMW,Understand,2008
V000616,A000616,Toyota,Thought,2003
V000617,A000617,Ford,Behavior,2018
V000618,A000618,Ford,Stand,2015
V000619,A000619,Honda,Teacher,2010
V000620,A000620,Ford,Republican,2012
V000621,A000621,BMW,Enjoy,2013
V000622,A000622,Honda,Character,2006
V000623,A000623,Ford,Become,2014
V000624,A000624,Toyota,Firm,2020
V000625,A000625,Ford,Senior,2022
V000626,A000626,Ford,New,2008
V000627,A000627,BMW,What,2018
V000628,A000628,Honda,Bank,2018
V000629,A000629,Toyota,Miss,2018
V000630,A000630,Ford,News,2016
V000631,A000631,Toyota,Out,2014
V000632,A000632,Ford,Thank,2007
V000633,A000633,BMW,Seek,2023
V000634,A000634,Ford,Rather,2016
V000635,A000635,Toyota,Growth,2012
V000636,A000636,Ford,Including,2017
V000637,A000637,BMW,Sense,2005
V000638,A000638,Toyota,Speak,2007
V000639,A000639,Toyota,Keep,2016
V000640,A000640,Honda,Card,2010
V000641,A000641,Honda,Audience,2018
V000642,A000642,Ford,Section,2003
V000643,A000643,Toyota,Firm,2003
V000644,A000644,Toyota,Visit,2019
V000645,A000645,Honda,End,2006
V000646,A000646,BMW,Threat,2015
V000647,A000647,Ford,People,2022
V000648,A000648,Ford,Across,2014
V000649,A000649,Honda,Reduce,2002
V000650,A000650,BMW,Have,2021
V000651,A000651,Toyota,Early,2003
V000652,A000652,BMW,Defense,2016
V000653,A000653,BMW,State,2000
V000654,A000654,Honda,Kind,2016
V000655,A000655,Toyota,Live,2023
V000656,A000656,Ford,Serve,2008
V000657,A000657,Toyota,Yet,2011
V000658,A000658,Ford,Realize,2019
V000659,A000659,Toyota,Operation,2002
V000660,A000660,Toyota,Along,2021
V000661,A000661,BMW,Rather,2002
V000662,A000662,BMW,Mother,2008
V000663,A000663,Honda,Open,2016
V000664,A000664,Toyota,Big,2007
V000665,A000665,BMW,Nothing,2007
V000666,A000666,Toyota,Energy,2020
V000667,A000667,BMW,Cause,2013
V000668,A000668,Honda,Reach,2023
V000669,A000669,BMW,Mother,2002
V000670,A000670,Honda,Assume,2012
V000671,A000671,BMW,Better,2008
V000672,A000672,Honda,Begin,2019
V000673,A000673,BMW,Already,2001
V000674,A000674,BMW,Have,2005
V000675,A000675,Honda,Sign,2000
V000676,A000676,Toyota,Any,2003
V000677,A000677,Ford,Organization,2008
V000678,A000678,Honda,Dinner,2002
V000679,A000679,BMW,Paper,2009
V000680,A000680,Ford,International,2002
V000681,A000681,BMW,Rate,2022
V000682,A000682,Toyota,If,2013
V000683,A000683,BMW,Sound,2020
V000684,A000684,Ford,Customer,2000
V000685,A000685,Ford,Candidate,2011
V000686,A000686,Toyota,Happy,2001
V000687,A000687,BMW,Position,2021
V000688,A000688,Honda,Side,2019
V000689,A000689,Honda,Officer,2004
V000690,A000690,Ford,Forward,2020
V000691,A000691,Ford,Those,2014
V000692,A000692,Honda,Where,2015
V000693,A000693,Honda,Accept,2010
V000694,A000694,Honda,Market,2021
V000695,A000695,Toyota,Strategy,2010
V000696,A000696,Ford,Pm,2009
V000697,A000697,Toyota,Church,2008
V000698,A000698,Ford,Adult,2017
V000699,A000699,BMW,Physical,2013
V000700,A000700,Toyota,Quickly,2016
V000701,A000701,Ford,Too,2013
V000702,A000702,BMW,Many,2007
V000703,A000703,Ford,In,2022
V000704,A000704,BMW,Into,2005
V000705,A000705,Toyota,Whom,2023
V000706,A000706,Ford,Vote,2014
V000707,A000707,Ford,Same,2012
V000708,A000708,BMW,Hair,2014
V000709,A000709,Toyota,Not,2005
V000710,A000710,Toyota,Present,2021
V000711,A000711,Ford,Feel,2001
V000712,A000712,Honda,Event,2012
V000713,A000713,Ford,Though,2005
V000714,A000714,Toyota,Half,2009
V000715,A000715,Toyota,Difficult,2003
V000716,A000716,BMW,West,2022
V000717,A000717,Honda,Important,2004
V000718,A000718,Ford,Act,2020
V000719,A000719,Honda,Grow,2014
V000720,A000720,Toyota,Least,2015
V000721,A000721,Ford,Five,2018
V000722,A000722,Toyota,Town,2023
V000723,A000723,Ford,Seem,2014
V000724,A000724,Ford,Nothing,2013
V000725,A000725,Honda,Girl,2015
V000726,A000726,Ford,Lot,2001
V000727,A000727,BMW,Include,2010
V000728,A000728,BMW,Mean,2022
V000729,A000729,BMW,Season,2011
V000730,A000730,Ford,Message,2023
V000731,A000731,Honda,Important,2018
V000732,A000732,Honda,Report,2021
V000733,A000733,Toyota,Senior,2018
V000734,A000734,BMW,New,2006
V000735,A000735,BMW,Common,2016
V000736,A000736,Toyota,Job,2003
V000737,A000737,BMW,Stock,2000
V000738,A000738,Toyota,Nature,2023
V000739,A000739,BMW,Need,2001
V000740,A000740,BMW,Present,2006
V000741,A000741,Toyota,Five,2018
