claim_id,accident_id,claimant_id,vehicle_id,policy_id_y,claim_date,claim_amount,status,processing_days
C000060,A000060,CL88454,V000060,P20990,2024-05-16,28019,Rejected,13
C000061,A000061,CL86086,V000061,P76287,2024-07-16,29132,Approved,58
C000062,A000062,CL23413,V000062,P85641,2025-01-04,4506,Approved,5
C000063,A000063,CL45467,V000063,P28526,2024-10-11,551,Pending,40
C000064,A000064,CL51549,V000064,P57040,2025-01-19,49060,Approved,52
C000065,A000065,CL44243,V000065,P95551,2024-04-06,3074,Rejected,45
C000066,A000066,CL94577,V000066,P46477,2024-07-04,44536,Rejected,59
C000067,A000067,CL38173,V000067,P38925,2025-02-03,5179,Rejected,50
C000068,A000068,CL16889,V000068,P94703,2023-07-29,18077,Pending,30
C000069,A000069,CL48890,V000069,P40147,2024-03-21,46572,Approved,25
C000070,A000070,CL88081,V000070,P11593,2023-06-09,4570,Pending,58
C000071,A000071,CL10772,V000071,P25853,2023-10-03,23125,Pending,56
C000072,A000072,CL85239,V000072,P71905,2023-08-02,29670,Approved,15
C000073,A000073,CL24385,V000073,P78824,2024-08-01,46306,Approved,35
C000074,A000074,CL37764,V000074,P91603,2023-04-09,45942,Rejected,59
C000075,A000075,CL38962,V000075,P77475,2023-05-06,18867,Rejected,4
C000076,A000076,CL12369,V000076,P44893,2023-05-10,5659,Pending,48
C000077,A000077,CL42935,V000077,P29943,2024-08-01,3302,Rejected,26
C000078,A000078,CL15251,V000078,P38227,2024-04-17,4340,Rejected,30
C000079,A000079,CL12935,V000079,P32330,2024-09-30,39908,Rejected,6
C000080,A000080,CL94461,V000080,P29543,2024-12-15,23361,Rejected,35
C000081,A000081,CL64791,V000081,P12135,2024-03-08,1976,Approved,51
C000082,A000082,CL31462,V000082,P79865,2023-06-27,39823,Approved,39
C000083,A000083,CL24959,V000083,P36271,2023-05-03,45424,Rejected,33
C000084,A000084,CL98788,V000084,P23818,2023-10-03,27459,Rejected,46
C000085,A000085,CL68108,V000085,P90293,2024-04-12,10868,Approved,7
C000086,A000086,CL13718,V000086,P83434,2023-03-15,1397,Rejected,8
C000087,A000087,CL27196,V000087,P53837,2024-07-18,24474,Rejected,48
C000088,A000088,CL92736,V000088,P38440,2024-08-20,40935,Pending,49
C000089,A000089,CL93816,V000089,P76811,2024-05-04,7188,Pending,49
C000090,A000090,CL26681,V000090,P23618,2023-12-01,6380,Rejected,60
C000091,A000091,CL82768,V000091,P22529,2024-04-08,42287,Rejected,48
C000092,A000092,CL19983,V000092,P40562,2025-01-30,46784,Approved,56
C000093,A000093,CL86148,V000093,P56320,2023-03-21,24149,Pending,39
C000094,A000094,CL36793,V000094,P41855,2024-12-03,1522,Rejected,55
C000095,A000095,CL21855,V000095,P56095,2023-06-30,30015,Pending,53
C000096,A000096,CL83240,V000096,P87543,2023-04-04,23589,Approved,54
C000097,A000097,CL53076,V000097,P55704,2023-03-12,41386,Rejected,54
C000098,A000098,CL05104,V000098,P50448,2023-03-05,7843,Pending,6
C000099,A000099,CL03725,V000099,P54332,2023-03-09,16320,Pending,5
C000100,A000100,CL59548,V000100,P72365,2024-09-14,37226,Rejected,39
C000101,A000101,CL09745,V000101,P62916,2024-03-09,11862,Rejected,31
C000102,A000102,CL73723,V000102,P68128,2025-02-23,25300,Rejected,8
C000103,A000103,CL88419,V000103,P48122,2024-06-15,41854,Rejected,11
C000104,A000104,CL72274,V000104,P89127,2023-06-10,5580,Rejected,15
C000105,A000105,CL53853,V000105,P32571,2024-06-02,8618,Approved,6
C000106,A000106,CL70182,V000106,P11478,2024-01-15,20698,Rejected,2
C000107,A000107,CL32653,V000107,P45818,2023-12-19,5365,Pending,60
C000108,A000108,CL53746,V000108,P27224,2024-06-06,34565,Approved,46
C000109,A000109,CL27413,V000109,P62412,2024-10-29,32184,Pending,31
C000110,A000110,CL43972,V000110,P11224,2024-02-09,6542,Rejected,48
C000111,A000111,CL86070,V000111,P75109,2024-05-06,23685,Approved,3
C000112,A000112,CL53771,V000112,P96442,2024-04-08,31646,Pending,47
C000113,A000113,CL18556,V000113,P47824,2024-12-04,9838,Rejected,6
C000114,A000114,CL20477,V000114,P36635,2023-04-26,40052,Approved,14
C000115,A000115,CL92232,V000115,P67526,2024-04-04,44937,Rejected,34
C000116,A000116,CL43255,V000116,P81362,2024-10-20,17510,Pending,34
C000117,A000117,CL84017,V000117,P70590,2024-02-14,11080,Pending,34
C000118,A000118,CL32367,V000118,P92130,2025-02-19,18877,Pending,46
C000119,A000119,CL56153,V000119,P25686,2023-06-01,18404,Approved,31
C000120,A000120,CL92793,V000120,P69953,2023-07-06,4642,Pending,9
C000121,A000121,CL80648,V000121,P30990,2024-07-23,10653,Approved,32
C000122,A000122,CL57685,V000122,P64971,2024-10-09,44547,Approved,1
C000123,A000123,CL42319,V000123,P72884,2023-06-23,24395,Rejected,32
C000124,A000124,CL02860,V000124,P89866,2024-09-21,12825,Pending,42
C000125,A000125,CL30287,V000125,P97690,2023-11-18,5599,Pending,6
C000126,A000126,CL33105,V000126,P92479,2023-07-15,2779,Rejected,45
C000127,A000127,CL78962,V000127,P39055,2024-05-07,29434,Approved,20
C000128,A000128,CL99511,V000128,P45828,2023-03-30,42867,Approved,23
C000129,A000129,CL11908,V000129,P60278,2024-10-02,3656,Rejected,11
C000130,A000130,CL59056,V000130,P86359,2024-01-17,40930,Pending,46
C000131,A000131,CL50599,V000131,P93437,2025-01-03,11362,Approved,10
C000132,A000132,CL57606,V000132,P51605,2024-08-02,34202,Pending,60
C000133,A000133,CL67438,V000133,P23216,2024-07-02,36158,Rejected,30
C000134,A000134,CL36341,V000134,P11697,2024-06-08,44194,Approved,26
C000135,A000135,CL17119,V000135,P88217,2024-05-23,45645,Rejected,50
C000136,A000136,CL41716,V000136,P50766,2023-07-14,19617,Approved,43
C000137,A000137,CL79187,V000137,P92762,2024-12-12,44737,Rejected,20
C000138,A000138,CL81396,V000138,P20106,2023-11-27,18374,Rejected,58
C000139,A000139,CL93736,V000139,P95048,2024-03-30,31489,Pending,9
C000140,A000140,CL65958,V000140,P70481,2025-02-02,47311,Approved,50
C000141,A000141,CL79709,V000141,P33427,2024-03-07,21393,Approved,17
C000142,A000142,CL25530,V000142,P22098,2023-09-14,35465,Rejected,49
C000143,A000143,CL84222,V000143,P45701,2024-03-25,46566,Approved,47
C000144,A000144,CL22870,V000144,P52588,2023-10-10,12092,Rejected,50
C000145,A000145,CL31324,V000145,P20703,2024-09-18,28870,Approved,51
C000146,A000146,CL21178,V000146,P31209,2025-02-15,48509,Pending,44
C000147,A000147,CL03351,V000147,P70808,2024-07-08,16740,Approved,14
C000148,A000148,CL24380,V000148,P21327,2023-07-12,16487,Pending,28
C000149,A000149,CL53838,V000149,P27305,2024-09-02,2464,Rejected,37
C000150,A000150,CL77432,V000150,P69992,2024-04-02,40532,Pending,32
C000151,A000151,CL41744,V000151,P19065,2025-02-16,4027,Rejected,47
C000152,A000152,CL77895,V000152,P93181,2024-05-18,13694,Rejected,3
C000153,A000153,CL65792,V000153,P94848,2025-02-22,22263,Pending,22
C000154,A000154,CL09679,V000154,P41737,2024-04-01,8422,Pending,50
C000155,A000155,CL35440,V000155,P59358,2024-05-21,14989,Pending,17
C000156,A000156,CL02335,V000156,P85919,2024-02-22,49037,Approved,45
C000157,A000157,CL66896,V000157,P23159,2024-06-08,35921,Approved,13
C000158,A000158,CL70148,V000158,P66812,2024-07-10,34844,Pending,30
C000159,A000159,CL64292,V000159,P85514,2023-05-13,12388,Approved,35
C000160,A000160,CL21004,V000160,P17064,2023-04-08,23637,Pending,10
C000161,A000161,CL29276,V000161,P42990,2024-05-14,27693,Pending,56
C000162,A000162,CL98533,V000162,P66237,2024-05-17,10042,Approved,59
C000163,A000163,CL98385,V000163,P72223,2023-11-18,25857,Rejected,37
C000164,A000164,CL25099,V000164,P58158,2025-01-16,24208,Rejected,14
C000165,A000165,CL40452,V000165,P38201,2023-04-29,4311,Pending,3
C000166,A000166,CL28402,V000166,P86138,2023-09-24,13113,Approved,3
C000167,A000167,CL68711,V000167,P67288,2024-04-25,28335,Rejected,58
C000168,A000168,CL10777,V000168,P31608,2024-07-02,37184,Approved,41
C000169,A000169,CL58333,V000169,P56643,2023-08-07,24816,Pending,21
C000170,A000170,CL12736,V000170,P80777,2024-05-22,44272,Pending,19
C000171,A000171,CL62789,V000171,P97542,2024-10-12,39541,Approved,17
C000172,A000172,CL39848,V000172,P53502,2024-03-21,23484,Rejected,60
C000173,A000173,CL92330,V000173,P87798,2024-10-26,33784,Rejected,50
C000174,A000174,CL41093,V000174,P97631,2024-01-24,41835,Rejected,38
C000175,A000175,CL71779,V000175,P86076,2023-10-27,48818,Approved,10
C000176,A000176,CL39801,V000176,P52753,2024-02-06,21513,Approved,10
C000177,A000177,CL96286,V000177,P85792,2023-03-08,36405,Approved,34
C000178,A000178,CL26440,V000178,P23262,2024-09-07,39038,Rejected,23
C000179,A000179,CL90102,V000179,P48989,2023-10-19,37167,Approved,44
C000180,A000180,CL54297,V000180,P29375,2025-02-05,40339,Rejected,45
C000181,A000181,CL05355,V000181,P81171,2024-11-11,49833,Pending,55
C000182,A000182,CL17173,V000182,P63501,2023-04-16,20937,Approved,24
C000183,A000183,CL10173,V000183,P77164,2025-01-05,18479,Pending,10
C000184,A000184,CL56950,V000184,P17296,2023-09-26,25716,Rejected,46
C000185,A000185,CL32085,V000185,P22450,2024-10-25,5664,Pending,31
C000186,A000186,CL93588,V000186,P14446,2025-02-05,43142,Rejected,9
C000187,A000187,CL04095,V000187,P71211,2025-02-02,49417,Pending,40
C000188,A000188,CL71837,V000188,P49687,2025-01-20,40664,Rejected,19
C000189,A000189,CL67276,V000189,P29526,2025-02-24,44636,Rejected,42
C000190,A000190,CL16180,V000190,P87551,2023-10-01,3546,Approved,57
C000191,A000191,CL83995,V000191,P77029,2024-02-27,4390,Rejected,1
C000192,A000192,CL94136,V000192,P79660,2023-06-21,17356,Pending,44
C000193,A000193,CL36981,V000193,P41022,2024-03-01,24179,Rejected,37
C000194,A000194,CL91840,V000194,P99272,2024-08-09,9737,Rejected,35
C000195,A000195,CL20794,V000195,P11110,2023-03-01,46577,Rejected,22
C000196,A000196,CL10602,V000196,P45775,2024-02-03,4215,Approved,57
C000197,A000197,CL62960,V000197,P62986,2023-09-11,48293,Approved,43
C000198,A000198,CL70516,V000198,P60266,2024-05-10,11036,Pending,18
C000199,A000199,CL13746,V000199,P47330,2023-07-15,14223,Pending,51
C000200,A000200,CL63666,V000200,P25185,2024-02-28,11922,Pending,42
C000201,A000201,CL98212,V000201,P16683,2023-10-08,34008,Rejected,4
C000202,A000202,CL33212,V000202,P95853,2023-11-26,41628,Rejected,34
C000203,A000203,CL27020,V000203,P41020,2023-12-22,26103,Approved,37
C000204,A000204,CL08329,V000204,P22402,2023-06-11,46890,Pending,35
C000205,A000205,CL21342,V000205,P79081,2023-09-25,10086,Pending,42
C000206,A000206,CL95609,V000206,P67624,2024-07-06,14463,Approved,1
C000207,A000207,CL33219,V000207,P55499,2024-11-21,21130,Pending,16
C000208,A000208,CL13768,V000208,P69372,2024-01-31,49433,Approved,47
C000209,A000209,CL97960,V000209,P82437,2023-12-19,12720,Approved,9
C000210,A000210,CL42694,V000210,P21253,2024-05-15,15588,Pending,44
C000211,A000211,CL83908,V000211,P13386,2023-09-01,23683,Pending,18
C000212,A000212,CL88716,V000212,P80009,2024-03-21,25999,Rejected,31
C000213,A000213,CL59319,V000213,P85714,2023-06-12,4373,Rejected,25
C000214,A000214,CL46670,V000214,P61028,2024-07-08,13412,Pending,57
C000215,A000215,CL77751,V000215,P38394,2024-07-12,36740,Rejected,13
C000216,A000216,CL73816,V000216,P20963,2025-01-07,39429,Rejected,5
C000217,A000217,CL42363,V000217,P62525,2024-09-26,10072,Rejected,9
C000218,A000218,CL17209,V000218,P58547,2023-11-27,7002,Approved,32
C000219,A000219,CL34742,V000219,P23362,2024-11-11,1276,Pending,40
C000220,A000220,CL78411,V000220,P75675,2023-06-19,48400,Approved,52
C000221,A000221,CL04716,V000221,P13110,2024-04-28,40515,Rejected,30
C000222,A000222,CL42189,V000222,P65112,2024-10-07,12172,Pending,59
C000223,A000223,CL95324,V000223,P54120,2024-03-02,15119,Approved,24
C000224,A000224,CL24184,V000224,P47321,2023-04-13,45399,Rejected,43
C000225,A000225,CL54168,V000225,P65037,2023-11-17,38201,Approved,51
C000226,A000226,CL90085,V000226,P98800,2025-01-27,8253,Pending,39
C000227,A000227,CL44058,V000227,P10494,2023-05-24,20878,Approved,23
C000228,A000228,CL88785,V000228,P22874,2023-03-21,32334,Approved,42
C000229,A000229,CL23500,V000229,P24753,2024-04-06,46226,Rejected,9
C000230,A000230,CL47881,V000230,P58010,2024-12-13,28977,Pending,18
C000231,A000231,CL42485,V000231,P98603,2023-10-02,5021,Rejected,25
C000232,A000232,CL94804,V000232,P21990,2025-02-05,30298,Rejected,41
C000233,A000233,CL64032,V000233,P19350,2023-06-14,34575,Pending,56
C000234,A000234,CL14841,V000234,P79645,2023-08-11,36454,Approved,50
C000235,A000235,CL75760,V000235,P42531,2024-06-14,738,Rejected,44
C000236,A000236,CL93075,V000236,P36197,2025-01-30,15923,Approved,9
C000237,A000237,CL02670,V000237,P62845,2024-05-22,8534,Approved,48
C000238,A000238,CL74898,V000238,P27436,2024-06-15,29267,Pending,32
C000239,A000239,CL27961,V000239,P25415,2023-07-14,19624,Rejected,50
C000240,A000240,CL49897,V000240,P74186,2023-07-22,47149,Rejected,2
C000241,A000241,CL98325,V000241,P48289,2024-07-06,11850,Approved,38
C000242,A000242,CL53985,V000242,P67468,2023-10-30,5379,Pending,39
C000243,A000243,CL88209,V000243,P61302,2023-08-15,49958,Rejected,2
C000244,A000244,CL46463,V000244,P80891,2023-12-13,4865,Pending,23
C000245,A000245,CL27807,V000245,P35536,2024-10-08,20294,Pending,14
C000246,A000246,CL83712,V000246,P62085,2024-06-03,46026,Pending,11
C000247,A000247,CL18083,V000247,P46534,2023-07-20,35417,Pending,49
C000248,A000248,CL84583,V000248,P19940,2024-09-02,39687,Pending,46
C000249,A000249,CL33022,V000249,P93167,2024-01-09,11821,Approved,13
C000250,A000250,CL60051,V000250,P24495,2023-09-02,30272,Pending,24
C000251,A000251,CL66677,V000251,P50114,2024-01-08,40607,Rejected,29
C000252,A000252,CL09505,V000252,P33205,2025-01-26,12963,Rejected,13
C000253,A000253,CL09678,V000253,P72846,2024-10-22,26629,Rejected,28
C000254,A000254,CL65638,V000254,P88349,2023-07-17,11855,Rejected,60
C000255,A000255,CL79531,V000255,P48425,2023-10-01,31430,Approved,14
C000256,A000256,CL67105,V000256,P32558,2023-05-08,1007,Pending,17
C000257,A000257,CL68418,V000257,P81850,2023-09-06,16677,Pending,25
C000258,A000258,CL44522,V000258,P67770,2023-10-19,20496,Rejected,47
C000259,A000259,CL73793,V000259,P25543,2024-04-27,20382,Approved,28
C000260,A000260,CL23116,V000260,P93448,2024-12-08,17641,Pending,26
C000261,A000261,CL74280,V000261,P26813,2023-06-08,49669,Approved,51
C000262,A000262,CL39613,V000262,P24127,2024-06-23,35313,Approved,1
C000263,A000263,CL96862,V000263,P12031,2024-05-09,49424,Rejected,28
C000264,A000264,CL80749,V000264,P52209,2024-07-14,11908,Pending,20
C000265,A000265,CL43951,V000265,P19313,2024-11-04,9165,Approved,12
C000266,A000266,CL51481,V000266,P90994,2024-04-18,46876,Rejected,46
C000267,A000267,CL30613,V000267,P24436,2024-12-22,14967,Approved,46
C000268,A000268,CL45088,V000268,P56616,2024-12-06,26618,Rejected,50
C000269,A000269,CL97404,V000269,P57180,2024-01-27,32265,Approved,8
C000270,A000270,CL89795,V000270,P14965,2024-02-13,37466,Approved,46
C000271,A000271,CL94068,V000271,P29900,2024-08-01,15321,Approved,20
C000272,A000272,CL06523,V000272,P32441,2024-03-12,2284,Approved,5
C000273,A000273,CL66374,V000273,P18192,2025-01-29,26910,Pending,15
C000274,A000274,CL50540,V000274,P49075,2024-12-06,45701,Pending,25
C000275,A000275,CL75474,V000275,P34050,2024-04-20,1881,Pending,35
C000276,A000276,CL63295,V000276,P92790,2023-10-09,36567,Rejected,22
C000277,A000277,CL12344,V000277,P16979,2023-07-26,4578,Approved,59
C000278,A000278,CL83337,V000278,P19464,2024-03-13,13879,Rejected,17
C000279,A000279,CL49552,V000279,P68862,2023-07-05,28978,Approved,10
C000280,A000280,CL80172,V000280,P92859,2024-10-03,24835,Pending,10
C000281,A000281,CL07704,V000281,P43420,2024-08-27,39443,Rejected,23
C000282,A000282,CL50239,V000282,P24245,2025-01-31,31176,Approved,26
C000283,A000283,CL48582,V000283,P57286,2023-11-14,49277,Rejected,56
C000284,A000284,CL29572,V000284,P57300,2023-09-03,44655,Approved,11
C000285,A000285,CL66674,V000285,P86725,2024-08-13,20341,Rejected,14
C000286,A000286,CL24713,V000286,P84290,2024-08-28,32030,Pending,52
C000287,A000287,CL31404,V000287,P39376,2024-08-03,15768,Rejected,50
C000288,A000288,CL82862,V000288,P92772,2023-11-18,7441,Pending,16
C000289,A000289,CL64450,V000289,P27724,2024-01-08,44040,Rejected,50
C000290,A000290,CL29433,V000290,P39386,2024-10-16,3235,Rejected,42
C000291,A000291,CL41601,V000291,P59181,2024-12-14,44612,Rejected,57
C000292,A000292,CL60361,V000292,P88292,2024-07-01,45525,Pending,53
C000293,A000293,CL16310,V000293,P28296,2023-07-09,11841,Approved,21
C000294,A000294,CL07579,V000294,P41966,2023-03-14,11664,Rejected,37
C000295,A000295,CL85825,V000295,P18042,2023-07-30,20008,Pending,57
C000296,A000296,CL49705,V000296,P65714,2024-06-30,42472,Pending,25
C000297,A000297,CL02835,V000297,P78641,2024-09-23,9983,Approved,24
C000298,A000298,CL68714,V000298,P48909,2024-11-20,48175,Approved,37
C000299,A000299,CL33445,V000299,P27339,2024-08-24,28507,Rejected,34
C000300,A000300,CL07132,V000300,P25282,2024-06-01,5492,Pending,15
C000301,A000301,CL08972,V000301,P33710,2024-03-27,33706,Pending,46
C000302,A000302,CL02401,V000302,P47197,2023-07-07,32197,Approved,8
C000303,A000303,CL28171,V000303,P46154,2024-09-27,45725,Rejected,13
C000304,A000304,CL73752,V000304,P17579,2024-10-11,32577,Approved,30
C000305,A000305,CL38864,V000305,P91963,2023-07-16,24880,Pending,59
C000306,A000306,CL95429,V000306,P48855,2024-02-18,38387,Approved,26
C000307,A000307,CL39051,V000307,P30966,2024-01-03,20348,Rejected,60
C000308,A000308,CL39018,V000308,P63440,2024-02-05,38653,Rejected,25
C000309,A000309,CL29771,V000309,P12185,2023-07-31,12598,Approved,15
C000310,A000310,CL31994,V000310,P64269,2024-09-11,46093,Pending,20
C000311,A000311,CL38636,V000311,P47015,2024-01-13,12947,Rejected,30
C000312,A000312,CL14508,V000312,P63242,2024-07-06,26576,Rejected,15
C000313,A000313,CL79059,V000313,P11523,2025-01-18,32695,Pending,6
C000314,A000314,CL15842,V000314,P85733,2023-08-26,14528,Approved,52
C000315,A000315,CL24840,V000315,P68078,2024-06-30,15105,Pending,12
C000316,A000316,CL23081,V000316,P30634,2024-06-16,28318,Approved,23
C000317,A000317,CL73447,V000317,P70410,2025-02-17,47174,Rejected,28
C000318,A000318,CL91799,V000318,P87277,2024-07-05,25970,Pending,42
C000319,A000319,CL25885,V000319,P10158,2024-08-15,28033,Approved,36
C000320,A000320,CL84000,V000320,P22309,2024-08-01,47365,Approved,3
C000321,A000321,CL38647,V000321,P10515,2024-10-02,5800,Pending,18
C000322,A000322,CL65821,V000322,P75497,2025-02-01,21563,Pending,53
C000323,A000323,CL63997,V000323,P26644,2024-12-15,21119,Approved,48
C000324,A000324,CL61947,V000324,P14247,2024-03-23,36519,Pending,26
C000325,A000325,CL36828,V000325,P70078,2023-07-21,46115,Rejected,20
C000326,A000326,CL52610,V000326,P59357,2025-02-22,39234,Approved,55
C000327,A000327,CL20693,V000327,P63247,2023-10-07,1696,Approved,53
C000328,A000328,CL68345,V000328,P29932,2023-12-13,23336,Rejected,59
C000329,A000329,CL06259,V000329,P98998,2024-06-21,42260,Pending,37
C000330,A000330,CL38852,V000330,P46430,2024-12-20,40891,Rejected,36
C000331,A000331,CL17011,V000331,P52167,2024-12-01,15143,Pending,41
C000332,A000332,CL36878,V000332,P97925,2023-04-24,12989,Pending,54
C000333,A000333,CL99387,V000333,P81439,2023-05-08,1121,Approved,21
C000334,A000334,CL95401,V000334,P12453,2023-05-24,33371,Rejected,20
C000335,A000335,CL38700,V000335,P49176,2024-08-02,33173,Approved,29
C000336,A000336,CL15760,V000336,P23081,2023-11-23,37251,Approved,26
C000337,A000337,CL72512,V000337,P19367,2024-08-22,24001,Pending,17
C000338,A000338,CL39849,V000338,P21500,2023-12-04,1621,Pending,39
C000339,A000339,CL65487,V000339,P88374,2023-10-11,1169,Approved,10
C000340,A000340,CL90994,V000340,P58632,2024-11-27,10087,Pending,38
C000341,A000341,CL42268,V000341,P85976,2023-04-03,31235,Approved,5
C000342,A000342,CL74276,V000342,P64399,2024-11-17,31655,Pending,9
C000343,A000343,CL13599,V000343,P97423,2023-04-03,33885,Pending,20
C000344,A000344,CL21654,V000344,P25096,2024-01-25,48513,Pending,15
C000345,A000345,CL63939,V000345,P29286,2025-02-24,13791,Rejected,42
C000346,A000346,CL08246,V000346,P83981,2025-01-21,10355,Approved,4
C000347,A000347,CL73230,V000347,P16321,2023-05-18,31113,Pending,60
C000348,A000348,CL10578,V000348,P89303,2024-12-27,41363,Rejected,33
C000349,A000349,CL42805,V000349,P68484,2023-10-14,41382,Rejected,32
C000350,A000350,CL52461,V000350,P84858,2024-07-19,4189,Rejected,16
C000351,A000351,CL24908,V000351,P71577,2023-03-21,28840,Pending,22
C000352,A000352,CL92191,V000352,P61518,2025-01-01,5083,Approved,55
C000353,A000353,CL48706,V000353,P81149,2024-07-19,22197,Approved,1
C000354,A000354,CL12771,V000354,P81207,2023-08-07,49155,Pending,8
C000355,A000355,CL03737,V000355,P83355,2023-07-26,32659,Approved,45
C000356,A000356,CL26508,V000356,P78436,2023-12-25,32053,Rejected,36
C000357,A000357,CL53721,V000357,P82605,2024-11-09,2624,Pending,40
C000358,A000358,CL72236,V000358,P70020,2023-07-29,32815,Rejected,38
C000359,A000359,CL24145,V000359,P62556,2025-02-12,22433,Pending,39
C000360,A000360,CL89986,V000360,P58616,2023-07-29,31739,Pending,59
C000361,A000361,CL12851,V000361,P21505,2023-09-09,14314,Pending,9
C000362,A000362,CL56731,V000362,P89612,2023-07-09,15468,Pending,19
C000363,A000363,CL07206,V000363,P99938,2023-06-10,28535,Pending,15
C000364,A000364,CL84752,V000364,P52628,2024-01-13,15878,Rejected,39
C000365,A000365,CL03102,V000365,P79549,2023-07-26,34021,Pending,1
C000366,A000366,CL29653,V000366,P28325,2025-01-31,44428,Rejected,32
C000367,A000367,CL83989,V000367,P25062,2023-11-23,31476,Rejected,33
C000368,A000368,CL11917,V000368,P85248,2024-12-05,26866,Pending,10
C000369,A000369,CL68217,V000369,P35816,2024-02-17,4761,Rejected,46
C000370,A000370,CL87472,V000370,P85701,2024-08-30,34207,Rejected,57
C000371,A000371,CL84764,V000371,P67047,2024-07-15,4069,Rejected,59
C000372,A000372,CL85808,V000372,P43431,2023-09-25,38343,Rejected,12
