vehicle_id,make,model,year
V000530,BMW,Hope,2002
V000531,Toyota,Own,2023
V000532,Toyota,Often,2014
V000533,Toyota,Keep,2010
V000534,BMW,Yet,2000
V000535,BMW,Push,2014
V000536,Toyota,Outside,2011
V000537,BMW,Order,2007
V000538,Toyota,Yard,2014
V000539,BMW,Suggest,2018
V000540,BMW,Firm,2000
V000541,Honda,House,2008
V000542,Toyota,Represent,2001
V000543,BMW,Under,2016
V000544,Toyota,Environment,2017
V000545,Toyota,Make,2016
V000546,Toyota,Group,2020
V000547,Honda,Wide,2003
V000548,Ford,When,2015
V000549,BMW,They,2010
V000550,Ford,Fish,2005
V000551,Honda,Sort,2023
V000552,BMW,Rise,2008
V000553,Toyota,But,2001
V000554,BMW,Hear,2002
V000555,Honda,Fund,2021
V000556,Toyota,Money,2020
V000557,Ford,Hit,2023
V000558,Toyota,Only,2000
V000559,Honda,Organization,2011
V000560,Ford,Medical,2010
V000561,Ford,Environment,2021
V000562,Honda,Site,2006
V000563,Toyota,People,2022
V000564,BMW,Chance,2016
V000565,Ford,Act,2003
V000566,Honda,Price,2009
V000567,Ford,Participant,2000
V000568,Toyota,Doctor,2017
V000569,Ford,Realize,2006
V000570,Toyota,Fill,2017
V000571,Honda,Seat,2018
V000572,Ford,Charge,2012
V000573,Ford,Break,2017
V000574,Toyota,Drive,2012
V000575,Toyota,Democrat,2012
V000576,BMW,Help,2016
V000577,Toyota,Program,2018
V000578,BMW,Black,2018
V000579,BMW,Talk,2006
V000580,Honda,Wife,2001
V000581,Toyota,Risk,2020
V000582,Toyota,Get,2018
V000583,Toyota,Practice,2006
V000584,Toyota,Minute,2016
V000585,Ford,These,2020
V000586,Toyota,Huge,2012
V000587,Toyota,Ready,2010
V000588,Honda,Program,2019
V000589,Honda,Country,2019
V000590,Ford,Writer,2021
V000591,Ford,Western,2006
V000592,Honda,,2016
V000593,Toyota,Manager,2003
V000594,Ford,Young,2007
V000595,Toyota,Instead,2012
V000596,Ford,Rise,2003
V000597,BMW,Stand,2022
V000598,Ford,Page,2013
V000599,Honda,Task,2003
V000600,Toyota,Air,2008
V000601,Toyota,Term,2013
V000602,Honda,Part,2002
V000603,Toyota,Great,2010
V000604,Ford,Instead,2000
V000605,Honda,Than,2006
V000606,Toyota,Realize,2008
V000607,Toyota,Stay,2008
V000608,BMW,Decide,2022
V000609,Honda,Office,2015
V000610,BMW,Attorney,2013
V000611,Ford,Drop,2001
V000612,Toyota,Million,2013
V000613,BMW,Beautiful,2011
V000614,Honda,Management,2011
V000615,BMW,Understand,2008
V000616,Toyota,Thought,2003
V000617,Ford,Behavior,2018
V000618,Ford,Stand,2015
V000619,Honda,Teacher,2010
V000620,Ford,Republican,2012
V000621,BMW,Enjoy,2013
V000622,Honda,Character,2006
V000623,Ford,Become,2014
V000624,Toyota,Firm,2020
V000625,Ford,Senior,2022
V000626,Ford,New,2008
V000627,BMW,What,2018
V000628,Honda,Bank,2018
V000629,Toyota,Miss,2018
V000630,Ford,News,2016
V000631,Toyota,Out,2014
V000632,Ford,Thank,2007
V000633,BMW,Seek,2023
V000634,Ford,Rather,2016
V000635,Toyota,Growth,2012
V000636,Ford,Including,2017
V000637,BMW,Sense,2005
V000638,Toyota,Speak,2007
V000639,Toyota,Keep,2016
V000640,Honda,Card,2010
V000641,Honda,Audience,2018
V000642,Ford,Section,2003
V000643,Toyota,Firm,2003
V000644,Toyota,Visit,2019
V000645,Honda,End,2006
V000646,BMW,Threat,2015
V000647,Ford,People,2022
V000648,Ford,Across,2014
V000649,Honda,Reduce,2002
V000650,BMW,Have,2021
V000651,Toyota,Early,2003
V000652,BMW,Defense,2016
V000653,BMW,State,2000
V000654,Honda,Kind,2016
V000655,Toyota,Live,2023
V000656,Ford,Serve,2008
V000657,Toyota,Yet,2011
V000658,Ford,Realize,2019
V000659,Toyota,Operation,2002
V000660,Toyota,Along,2021
V000661,BMW,Rather,2002
V000662,BMW,Mother,2008
V000663,Honda,Open,2016
V000664,Toyota,Big,2007
V000665,BMW,Nothing,2007
V000666,Toyota,Energy,2020
V000667,BMW,Cause,2013
V000668,Honda,Reach,2023
V000669,BMW,Mother,2002
V000670,Honda,Assume,2012
V000671,BMW,Better,2008
V000672,Honda,Begin,2019
V000673,BMW,Already,2001
V000674,BMW,Have,2005
V000675,Honda,Sign,2000
V000676,Toyota,Any,2003
V000677,Ford,Organization,2008
V000678,Honda,Dinner,2002
V000679,BMW,Paper,2009
V000680,Ford,International,2002
V000681,BMW,Rate,2022
V000682,Toyota,If,2013
V000683,BMW,Sound,2020
V000684,Ford,Customer,2000
V000685,Ford,Candidate,2011
V000686,Toyota,Happy,2001
V000687,BMW,Position,2021
V000688,Honda,Side,2019
V000689,Honda,Officer,2004
V000690,Ford,Forward,2020
V000691,Ford,Those,2014
V000692,Honda,Where,2015
V000693,Honda,Accept,2010
V000694,Honda,Market,2021
V000695,Toyota,Strategy,2010
V000696,Ford,Pm,2009
V000697,Toyota,Church,2008
V000698,Ford,Adult,2017
V000699,BMW,Physical,2013
V000700,Toyota,Quickly,2016
V000701,Ford,Too,2013
V000702,BMW,Many,2007
V000703,Ford,In,2022
V000704,BMW,Into,2005
V000705,Toyota,Whom,2023
V000706,Ford,Vote,2014
V000707,Ford,Same,2012
V000708,BMW,Hair,2014
V000709,Toyota,Not,2005
V000710,Toyota,Present,2021
V000711,Ford,Feel,2001
V000712,Honda,Event,2012
V000713,Ford,Though,2005
V000714,Toyota,Half,2009
V000715,Toyota,Difficult,2003
V000716,BMW,West,2022
V000717,Honda,Important,2004
V000718,Ford,Act,2020
V000719,Honda,Grow,2014
V000720,Toyota,Least,2015
V000721,Ford,Five,2018
V000722,Toyota,Town,2023
V000723,Ford,Seem,2014
V000724,Ford,Nothing,2013
V000725,Honda,Girl,2015
V000726,Ford,Lot,2001
V000727,BMW,Include,2010
V000728,BMW,Mean,2022
V000729,BMW,Season,2011
V000730,Ford,Message,2023
V000731,Honda,Important,2018
V000732,Honda,Report,2021
V000733,Toyota,Senior,2018
V000734,BMW,New,2006
V000735,BMW,Common,2016
V000736,Toyota,Job,2003
V000737,BMW,Stock,2000
V000738,Toyota,Nature,2023
V000739,BMW,Need,2001
V000740,BMW,Present,2006
V000741,Toyota,Five,2018
V000742,Toyota,Woman,2000
V000743,BMW,Agent,2005
V000744,Toyota,Congress,2002
V000745,Honda,Option,2000
V000746,BMW,Take,2023
V000747,Toyota,There,2021
V000748,Ford,Least,2020
V000749,BMW,Nor,2015
V000750,Toyota,Cell,2005
V000751,Honda,Appear,2007
V000752,BMW,Police,2011
V000753,Ford,Defense,2018
V000754,Ford,Focus,2010
V000755,Ford,Federal,2018
V000756,Ford,Themselves,2002
V000757,Ford,Prevent,2002
V000758,BMW,Century,2014
V000759,BMW,Suggest,2013
V000760,BMW,Arrive,2005
V000761,BMW,Success,2003
V000762,Honda,Coach,2006
V000763,Honda,Learn,2017
V000764,Honda,Improve,2011
V000765,BMW,Than,2015
V000766,Honda,Everybody,2009
V000767,BMW,North,2013
V000768,Toyota,Surface,2000
V000769,Honda,Human,2001
V000770,BMW,Detail,2010
V000771,BMW,Long,2003
V000772,Ford,Off,2020
V000773,BMW,Face,2021
V000774,BMW,Whom,2010
V000775,Ford,East,2018
V000776,Honda,Fine,2000
V000777,Toyota,Culture,2015
V000778,Ford,Pm,2018
V000779,Ford,White,2001
V000780,Honda,Strategy,2023
V000781,Toyota,Give,2023
V000782,Ford,Large,2008
V000783,Ford,Room,2016
V000784,Toyota,Could,2005
V000785,Ford,Age,2002
V000786,Ford,Partner,2009
V000787,Toyota,Air,2009
V000788,Ford,Take,2002
V000789,Honda,Possible,2012
V000790,BMW,Choice,2018
V000791,Honda,Small,2013
V000792,Honda,Last,2000
V000793,Toyota,Boy,2014
V000794,Ford,Stand,2021
V000795,Toyota,Many,2008
V000796,Ford,Enter,2022
V000797,Honda,Attorney,2007
V000798,Ford,Future,2012
V000799,Ford,Be,2008
V000800,BMW,Water,2023
V000801,BMW,General,2023
V000802,Ford,Red,2006
V000803,BMW,Something,2014
V000804,BMW,Before,2004
V000805,Honda,Dark,2002
V000806,Honda,Performance,2013
V000807,BMW,Though,2002
V000808,BMW,Subject,2000
V000809,Toyota,Floor,2003
V000810,Honda,Space,2007
V000811,BMW,Policy,2003
V000812,BMW,Blue,2019
V000813,BMW,Professional,2004
V000814,BMW,Include,2006
V000815,BMW,But,2005
V000816,Ford,Activity,2006
V000817,Toyota,Entire,2017
V000818,Ford,Receive,2000
V000819,Toyota,Provide,2015
V000820,BMW,Family,2021
V000821,Honda,Pick,2012
V000822,Ford,Tough,2020
V000823,BMW,Before,2019
V000824,Ford,Police,2006
V000825,Toyota,Pay,2023
V000826,Ford,Chance,2014
V000827,Toyota,Arrive,2020
V000828,Ford,Year,2020
V000829,Honda,Everything,2004
V000830,Honda,Health,2020
V000831,Toyota,Very,2016
V000832,Ford,Threat,2019
V000833,BMW,Relate,2009
V000834,BMW,Owner,2022
V000835,Toyota,Rate,2010
V000836,BMW,Management,2016
V000837,Ford,Mouth,2015
V000838,Ford,True,2021
V000839,Toyota,Significant,2010
V000840,BMW,Cut,2022
V000841,Ford,Offer,2001
V000842,Ford,According,2015
V000843,BMW,Ask,2017
V000844,Honda,Decision,2012
V000845,Honda,Local,2010
V000846,Ford,Environmental,2019
V000847,Toyota,Real,2015
V000848,Ford,Ground,2003
V000849,Ford,Lead,2005
V000850,Toyota,Campaign,2002
V000851,BMW,Attorney,2009
V000852,BMW,Suggest,2004
V000853,Toyota,Suggest,2002
V000854,Honda,Save,2006
V000855,Honda,Do,2002
V000856,Ford,Understand,2006
V000857,Honda,Brother,2000
V000858,Ford,She,2004
V000859,Toyota,Southern,2009
V000860,Ford,Information,2003
V000861,Ford,Home,2010
V000862,Toyota,Artist,2006
V000863,Honda,Form,2012
V000864,Ford,Create,2008
V000865,Honda,One,2014
V000866,Ford,My,2002
V000867,Honda,Difference,2011
V000868,Honda,Require,2015
V000869,Toyota,Our,2008
V000870,Honda,System,2023
V000871,BMW,Next,2014
V000872,BMW,Network,2018
V000873,Ford,Laugh,2016
V000874,Honda,Far,2006
V000875,BMW,Attack,2023
V000876,BMW,Authority,2015
V000877,BMW,Order,2020
V000878,Ford,Book,2001
V000879,Toyota,Report,2020
V000880,BMW,Hit,2022
V000881,BMW,First,2008
V000882,Honda,Weight,2015
V000883,Honda,Strategy,2000
V000884,Honda,By,2002
V000885,Honda,Field,2007
V000886,BMW,Work,2010
V000887,BMW,Who,2021
V000888,Toyota,Answer,2004
V000889,BMW,Music,2021
V000890,BMW,Pretty,2013
V000891,BMW,Century,2009
V000892,BMW,Benefit,2019
V000893,Toyota,Sense,2000
V000894,BMW,Could,2008
V000895,Ford,Second,2010
V000896,BMW,Understand,2020
V000897,Honda,Candidate,2023
V000898,BMW,Purpose,2006
V000899,Honda,Benefit,2015
V000900,Honda,Affect,2008
V000901,Ford,Morning,2023
V000902,Ford,Future,2013
V000903,Honda,Use,2023
V000904,Toyota,Within,2011
V000905,Toyota,Assume,2007
V000906,Toyota,Mrs,2020
V000907,Toyota,Production,2022
V000908,Honda,Move,2016
V000909,Toyota,Detail,2002
V000910,Ford,Realize,2017
V000911,Toyota,Manager,2009
V000912,BMW,Hard,2003
V000913,Honda,Travel,2009
V000914,Toyota,Worker,2015
V000915,Honda,Picture,2005
V000916,Ford,Eye,2005
V000917,Toyota,Support,2014
V000918,Ford,City,2021
V000919,Honda,Must,2018
V000920,Ford,Break,2002
V000921,BMW,In,2022
V000922,BMW,Particular,2003
V000923,Toyota,Travel,2018
V000924,Ford,Them,2009
V000925,BMW,True,2008
V000926,Honda,More,2022
V000927,Honda,Early,2019
V000928,Toyota,Realize,2020
V000929,Toyota,His,2012
V000930,Toyota,Thank,2020
V000931,Ford,Quality,2017
V000932,Honda,War,2012
V000933,Ford,Thank,2016
V000934,Honda,Easy,2002
V000935,Honda,Part,2015
V000936,Ford,The,2002
V000937,Ford,All,2022
V000938,Ford,Child,2014
V000939,BMW,Century,2002
V000940,BMW,One,2013
V000941,Ford,Organization,2021
V000942,Honda,Level,2018
V000943,Honda,Goal,2002
